application,repetition,multiplier,route,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,1,direct,read_home_timeline,22,3125
deathstarbench_social_network,0,1,direct,read_user_timeline,22,3635
deathstarbench_social_network,0,1,direct,compose_post,23,4208
deathstarbench_social_network,0,1,direct,read_home_timeline,23,3032
deathstarbench_social_network,0,1,direct,read_user_timeline,23,3578
deathstarbench_social_network,0,1,direct,compose_post,24,4326
deathstarbench_social_network,0,1,direct,read_home_timeline,24,3045
deathstarbench_social_network,0,1,direct,read_user_timeline,24,3518
deathstarbench_social_network,0,1,direct,compose_post,25,4093
deathstarbench_social_network,0,1,direct,read_home_timeline,25,2980
deathstarbench_social_network,0,1,direct,read_user_timeline,25,3526
deathstarbench_social_network,0,1,direct,compose_post,26,4311
deathstarbench_social_network,0,1,direct,read_home_timeline,26,2981
deathstarbench_social_network,0,1,direct,read_user_timeline,26,3601
deathstarbench_social_network,0,1,direct,compose_post,27,4198
deathstarbench_social_network,0,1,direct,read_home_timeline,27,3066
deathstarbench_social_network,0,1,direct,read_user_timeline,27,3548
deathstarbench_social_network,0,1,direct,compose_post,28,4218
deathstarbench_social_network,0,1,direct,read_home_timeline,28,3651
deathstarbench_social_network,0,1,direct,read_user_timeline,28,4236
deathstarbench_social_network,0,1,direct,compose_post,29,4513
deathstarbench_social_network,0,1,direct,read_home_timeline,29,3092
deathstarbench_social_network,0,1,direct,read_user_timeline,29,3904
deathstarbench_social_network,0,1,direct,compose_post,30,4077
deathstarbench_social_network,0,1,direct,read_home_timeline,30,2961
deathstarbench_social_network,0,1,direct,read_user_timeline,30,3622
deathstarbench_social_network,0,2,projected,compose_post,0,12503
deathstarbench_social_network,0,2,projected,read_home_timeline,0,5794
deathstarbench_social_network,0,2,projected,read_user_timeline,0,5416
deathstarbench_social_network,0,2,projected,compose_post,1,4856
deathstarbench_social_network,0,2,projected,read_home_timeline,1,3531
deathstarbench_social_network,0,2,projected,read_user_timeline,1,4195
deathstarbench_social_network,0,2,projected,compose_post,2,4559
deathstarbench_social_network,0,2,projected,read_home_timeline,2,3226
deathstarbench_social_network,0,2,projected,read_user_timeline,2,3765
deathstarbench_social_network,0,2,projected,compose_post,3,4824
deathstarbench_social_network,0,2,projected,read_home_timeline,3,3516
deathstarbench_social_network,0,2,projected,read_user_timeline,3,4104
deathstarbench_social_network,0,2,projected,compose_post,4,4418
deathstarbench_social_network,0,2,projected,read_home_timeline,4,3270
deathstarbench_social_network,0,2,projected,read_user_timeline,4,3829
deathstarbench_social_network,0,2,projected,compose_post,5,4496
deathstarbench_social_network,0,2,projected,read_home_timeline,5,3194
deathstarbench_social_network,0,2,projected,read_user_timeline,5,4099
deathstarbench_social_network,0,2,projected,compose_post,6,4491
deathstarbench_social_network,0,2,projected,read_home_timeline,6,3152
deathstarbench_social_network,0,2,projected,read_user_timeline,6,3926
deathstarbench_social_network,0,2,projected,compose_post,7,4293
deathstarbench_social_network,0,2,projected,read_home_timeline,7,3130
deathstarbench_social_network,0,2,projected,read_user_timeline,7,3888
deathstarbench_social_network,0,2,projected,compose_post,8,4386
deathstarbench_social_network,0,2,projected,read_home_timeline,8,23554
deathstarbench_social_network,0,2,projected,read_user_timeline,8,4724
deathstarbench_social_network,0,2,projected,compose_post,9,4388
deathstarbench_social_network,0,2,projected,read_home_timeline,9,3233
deathstarbench_social_network,0,2,projected,read_user_timeline,9,3940
deathstarbench_social_network,0,2,projected,compose_post,10,4319
deathstarbench_social_network,0,2,projected,read_home_timeline,10,3181
deathstarbench_social_network,0,2,projected,read_user_timeline,10,3850
deathstarbench_social_network,0,2,projected,compose_post,11,4482
deathstarbench_social_network,0,2,projected,read_home_timeline,11,4700
deathstarbench_social_network,0,2,projected,read_user_timeline,11,3821
deathstarbench_social_network,0,2,projected,compose_post,12,4565
deathstarbench_social_network,0,2,projected,read_home_timeline,12,3179
deathstarbench_social_network,0,2,projected,read_user_timeline,12,3942
deathstarbench_social_network,0,2,projected,compose_post,13,4410
deathstarbench_social_network,0,2,projected,read_home_timeline,13,3123
deathstarbench_social_network,0,2,projected,read_user_timeline,13,4195
deathstarbench_social_network,0,2,projected,compose_post,14,4405
deathstarbench_social_network,0,2,projected,read_home_timeline,14,2983
deathstarbench_social_network,0,2,projected,read_user_timeline,14,3785
deathstarbench_social_network,0,2,projected,compose_post,15,4451
deathstarbench_social_network,0,2,projected,read_home_timeline,15,2949
deathstarbench_social_network,0,2,projected,read_user_timeline,15,3988
deathstarbench_social_network,0,2,projected,compose_post,16,4233
deathstarbench_social_network,0,2,projected,read_home_timeline,16,3123
deathstarbench_social_network,0,2,projected,read_user_timeline,16,3927
deathstarbench_social_network,0,2,projected,compose_post,17,4604
deathstarbench_social_network,0,2,projected,read_home_timeline,17,3051
deathstarbench_social_network,0,2,projected,read_user_timeline,17,3995
deathstarbench_social_network,0,2,projected,compose_post,18,4530
deathstarbench_social_network,0,2,projected,read_home_timeline,18,2979
deathstarbench_social_network,0,2,projected,read_user_timeline,18,3695
deathstarbench_social_network,0,2,projected,compose_post,19,4764
deathstarbench_social_network,0,2,projected,read_home_timeline,19,2934
deathstarbench_social_network,0,2,projected,read_user_timeline,19,3728
deathstarbench_social_network,0,2,projected,compose_post,20,4285
deathstarbench_social_network,0,2,projected,read_home_timeline,20,2985
deathstarbench_social_network,0,2,projected,read_user_timeline,20,3794
deathstarbench_social_network,0,2,projected,compose_post,21,4413
deathstarbench_social_network,0,2,projected,read_home_timeline,21,3109
deathstarbench_social_network,0,2,projected,read_user_timeline,21,3970
deathstarbench_social_network,0,2,projected,compose_post,22,4783
deathstarbench_social_network,0,2,projected,read_home_timeline,22,3172
deathstarbench_social_network,0,2,projected,read_user_timeline,22,3766
deathstarbench_social_network,0,2,projected,compose_post,23,4227
deathstarbench_social_network,0,2,projected,read_home_timeline,23,2999
deathstarbench_social_network,0,2,projected,read_user_timeline,23,3652
deathstarbench_social_network,0,2,projected,compose_post,24,4409
deathstarbench_social_network,0,2,projected,read_home_timeline,24,3110
deathstarbench_social_network,0,2,projected,read_user_timeline,24,3712
deathstarbench_social_network,0,2,projected,compose_post,25,4213
deathstarbench_social_network,0,2,projected,read_home_timeline,25,2966
deathstarbench_social_network,0,2,projected,read_user_timeline,25,3640
deathstarbench_social_network,0,2,projected,compose_post,26,4183
deathstarbench_social_network,0,2,projected,read_home_timeline,26,2981
deathstarbench_social_network,0,2,projected,read_user_timeline,26,3722
deathstarbench_social_network,0,2,projected,compose_post,27,4300
deathstarbench_social_network,0,2,projected,read_home_timeline,27,3094
deathstarbench_social_network,0,2,projected,read_user_timeline,27,3789
deathstarbench_social_network,0,2,projected,compose_post,28,4248
deathstarbench_social_network,0,2,projected,read_home_timeline,28,3021
deathstarbench_social_network,0,2,projected,read_user_timeline,28,3718
deathstarbench_social_network,0,2,projected,compose_post,29,4333
deathstarbench_social_network,0,2,projected,read_home_timeline,29,3090
deathstarbench_social_network,0,2,projected,read_user_timeline,29,3851
deathstarbench_social_network,0,2,projected,compose_post,30,4400
deathstarbench_social_network,0,2,projected,read_home_timeline,30,3011
deathstarbench_social_network,0,2,projected,read_user_timeline,30,3802
deathstarbench_social_network,0,2,direct,compose_post,0,34121
deathstarbench_social_network,0,2,direct,read_home_timeline,0,7172
deathstarbench_social_network,0,2,direct,read_user_timeline,0,5991
deathstarbench_social_network,0,2,direct,compose_post,1,4711
deathstarbench_social_network,0,2,direct,read_home_timeline,1,3490
deathstarbench_social_network,0,2,direct,read_user_timeline,1,4410
deathstarbench_social_network,0,2,direct,compose_post,2,4606
deathstarbench_social_network,0,2,direct,read_home_timeline,2,3144
deathstarbench_social_network,0,2,direct,read_user_timeline,2,4447
deathstarbench_social_network,0,2,direct,compose_post,3,4367
deathstarbench_social_network,0,2,direct,read_home_timeline,3,3167
deathstarbench_social_network,0,2,direct,read_user_timeline,3,4084
deathstarbench_social_network,0,2,direct,compose_post,4,4346
deathstarbench_social_network,0,2,direct,read_home_timeline,4,3270
deathstarbench_social_network,0,2,direct,read_user_timeline,4,3886
deathstarbench_social_network,0,2,direct,compose_post,5,4255
deathstarbench_social_network,0,2,direct,read_home_timeline,5,3113
deathstarbench_social_network,0,2,direct,read_user_timeline,5,3908
deathstarbench_social_network,0,2,direct,compose_post,6,4310
deathstarbench_social_network,0,2,direct,read_home_timeline,6,3040
