application,law,repetition,period,operation,full_support,direct_support,full_reason,direct_reason,full_original_reproduced,same_R_routes_qualified,E_lower_count,E_lower_exact,E_point_attempts,E_point_fraction,E_upper_count,E_upper_exact,E_width,R_lower_count,R_lower_exact,R_minus_E_lower_count,R_minus_E_lower_exact,R_minus_E_point_attempts,R_minus_E_point_fraction,R_minus_E_upper_count,R_minus_E_upper_exact,R_minus_E_width,R_point_attempts,R_point_fraction,R_upper_count,R_upper_exact,R_width,attempts,equivalent_for_all_states,same_marginal_bounds_but_possible_difference,E_failure_excluded,E_success_excluded,R_failure_excluded,R_success_excluded,R_and_K_difference_not_determined,event_difference_undecided
opentelemetry_demo,NC,1,calibration,checkout,True,True,,,True,True,573,191/400,892,0.7433333333333333,881,881/1200,0.25666666666666665,573,191/400,0,0,892,0.7433333333333333,308,77/300,0.25666666666666665,892,0.7433333333333333,881,881/1200,0.25666666666666665,1200,892,308,,,,,308,308
opentelemetry_demo,NC,1,test,add_to_cart,True,True,,,True,True,1051,1051/1200,1200,1.0,1051,1051/1200,0.0,1051,1051/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1051,1051/1200,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,NC,1,test,browse_product,True,True,,,True,True,1055,211/240,1200,1.0,1055,211/240,0.0,1055,211/240,0,0,1200,1.0,0,0,0.0,1200,1.0,1055,211/240,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,NC,1,test,checkout,True,True,,,True,True,887,887/1200,1200,1.0,887,887/1200,0.0,887,887/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,887,887/1200,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,NC,2,calibration,add_to_cart,True,True,,,True,True,305,61/240,482,0.40166666666666667,1023,341/400,0.5983333333333334,305,61/240,0,0,482,0.40166666666666667,718,359/600,0.5983333333333334,482,0.40166666666666667,1023,341/400,0.5983333333333334,1200,482,718,,,,,718,718
opentelemetry_demo,NC,2,calibration,browse_product,True,True,,,True,True,317,317/1200,487,0.4058333333333333,1030,103/120,0.5941666666666666,317,317/1200,0,0,487,0.4058333333333333,713,713/1200,0.5941666666666666,487,0.4058333333333333,1030,103/120,0.5941666666666666,1200,487,713,,,,,713,713
opentelemetry_demo,NC,2,calibration,checkout,False,False,unexplained native parent boundary,unexplained native parent boundary,True,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,
opentelemetry_demo,NC,2,test,add_to_cart,True,True,,,True,True,350,7/24,483,0.4025,1067,1067/1200,0.5975,350,7/24,0,0,483,0.4025,717,239/400,0.5975,483,0.4025,1067,1067/1200,0.5975,1200,483,717,0,0,0,0,717,717
opentelemetry_demo,NC,2,test,browse_product,True,True,,,True,True,348,29/100,508,0.42333333333333334,1040,13/15,0.5766666666666667,348,29/100,0,0,510,0.425,690,23/40,0.575,508,0.42333333333333334,1040,13/15,0.5766666666666667,1200,510,690,0,0,0,0,690,690
opentelemetry_demo,NC,2,test,checkout,True,True,,,True,True,328,41/150,575,0.4791666666666667,953,953/1200,0.5208333333333334,328,41/150,0,0,575,0.4791666666666667,625,25/48,0.5208333333333334,575,0.4791666666666667,953,953/1200,0.5208333333333334,1200,575,625,0,0,0,0,625,625
spring_petclinic_microservices,N,0,calibration,create_visit,True,True,,,True,True,865,173/180,900,1.0,865,173/180,0.0,865,173/180,0,0,900,1.0,0,0,0.0,900,1.0,865,173/180,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,0,calibration,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,0,calibration,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,0,calibration,owner_details_with_visits,True,True,,,True,True,866,433/450,900,1.0,866,433/450,0.0,866,433/450,0,0,900,1.0,0,0,0.0,900,1.0,866,433/450,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,0,test,create_visit,True,True,,,True,True,867,289/300,900,1.0,867,289/300,0.0,867,289/300,0,0,900,1.0,0,0,0.0,900,1.0,867,289/300,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,0,test,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,0,test,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,0,test,owner_details_with_visits,True,True,,,True,True,870,29/30,900,1.0,870,29/30,0.0,870,29/30,0,0,900,1.0,0,0,0.0,900,1.0,870,29/30,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,1,calibration,create_visit,True,True,,,True,True,880,44/45,900,1.0,880,44/45,0.0,880,44/45,0,0,900,1.0,0,0,0.0,900,1.0,880,44/45,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,1,calibration,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,1,calibration,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,1,calibration,owner_details_with_visits,True,True,,,True,True,876,73/75,900,1.0,876,73/75,0.0,876,73/75,0,0,900,1.0,0,0,0.0,900,1.0,876,73/75,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,1,test,create_visit,True,True,,,True,True,864,24/25,900,1.0,864,24/25,0.0,864,24/25,0,0,900,1.0,0,0,0.0,900,1.0,864,24/25,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,1,test,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,1,test,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,1,test,owner_details_with_visits,True,True,,,True,True,868,217/225,900,1.0,868,217/225,0.0,868,217/225,0,0,900,1.0,0,0,0.0,900,1.0,868,217/225,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,2,calibration,create_visit,True,True,,,True,True,866,433/450,900,1.0,866,433/450,0.0,866,433/450,0,0,900,1.0,0,0,0.0,900,1.0,866,433/450,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,2,calibration,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,2,calibration,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,2,calibration,owner_details_with_visits,True,True,,,True,True,871,871/900,900,1.0,871,871/900,0.0,871,871/900,0,0,900,1.0,0,0,0.0,900,1.0,871,871/900,0.0,900,900,0,,,,,,
spring_petclinic_microservices,N,2,test,create_visit,True,True,,,True,True,844,211/225,900,1.0,844,211/225,0.0,844,211/225,0,0,900,1.0,0,0,0.0,900,1.0,844,211/225,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,2,test,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,2,test,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,N,2,test,owner_details_with_visits,True,True,,,True,True,839,839/900,900,1.0,839,839/900,0.0,839,839/900,0,0,900,1.0,0,0,0.0,900,1.0,839,839/900,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,NC,0,calibration,create_visit,True,True,,,True,True,847,847/900,900,1.0,847,847/900,0.0,847,847/900,0,0,900,1.0,0,0,0.0,900,1.0,847,847/900,0.0,900,900,0,,,,,,
spring_petclinic_microservices,NC,0,calibration,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,NC,0,calibration,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
spring_petclinic_microservices,NC,0,calibration,owner_details_with_visits,True,True,,,True,True,839,839/900,900,1.0,839,839/900,0.0,839,839/900,0,0,900,1.0,0,0,0.0,900,1.0,839,839/900,0.0,900,900,0,,,,,,
spring_petclinic_microservices,NC,0,test,create_visit,True,True,,,True,True,815,163/180,900,1.0,815,163/180,0.0,815,163/180,0,0,900,1.0,0,0,0.0,900,1.0,815,163/180,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,NC,0,test,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,NC,0,test,list_vets,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,NC,0,test,owner_details_with_visits,True,True,,,True,True,820,41/45,900,1.0,820,41/45,0.0,820,41/45,0,0,900,1.0,0,0,0.0,900,1.0,820,41/45,0.0,900,900,0,0,0,0,0,,
spring_petclinic_microservices,NC,1,calibration,create_visit,True,True,,,True,True,812,203/225,900,1.0,812,203/225,0.0,812,203/225,0,0,900,1.0,0,0,0.0,900,1.0,812,203/225,0.0,900,900,0,,,,,,
spring_petclinic_microservices,NC,1,calibration,list_owners,True,True,,,True,True,900,1,900,1.0,900,1,0.0,900,1,0,0,900,1.0,0,0,0.0,900,1.0,900,1,0.0,900,900,0,,,,,,
