artifact_id,artifact_name,scope,measurement_present,wall_seconds,user_seconds,system_seconds,maximum_rss_bytes
10165699291,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r1-34465226083,timed extraction command/children; not total deployment resources,True,104.41,95.25,3.57,2677219328.0
10165695485,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r2-34465226083,timed extraction command/children; not total deployment resources,True,94.22999999999999,79.56,3.31,2188840960.0
10165710799,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r3-34465226083,timed extraction command/children; not total deployment resources,True,112.47999999999999,106.62,3.82,3225247744.0
10165710163,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r4-34465226083,timed extraction command/children; not total deployment resources,True,104.33,94.38,3.5,2503159808.0
10165711049,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r5-34465226083,timed extraction command/children; not total deployment resources,True,111.13,106.44,2.96,1875554304.0
10165710720,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r6-34465226083,timed extraction command/children; not total deployment resources,True,103.42,96.63,3.57,2802610176.0
10165717924,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r7-34465226083,timed extraction command/children; not total deployment resources,True,104.35,95.21,3.64,2877767680.0
10165720579,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r8-34465226083,timed extraction command/children; not total deployment resources,True,112.55,111.66,3.02,1845739520.0
10165736733,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r9-34465226083,timed extraction command/children; not total deployment resources,True,100.50999999999999,86.43,3.44,2651004928.0
10165587726,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r0-34465226083,timed extraction command/children; not total deployment resources,True,108.13,99.8,4.26,3426668544.0
10165603195,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r1-34465226083,timed extraction command/children; not total deployment resources,True,109.9,104.35,3.85,2997772288.0
10165686137,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r2-34465226083,timed extraction command/children; not total deployment resources,True,107.61,99.7,3.72,3311644672.0
10165689310,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r3-34465226083,timed extraction command/children; not total deployment resources,True,109.09,100.16,3.82,3219988480.0
10165725193,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r4-34465226083,timed extraction command/children; not total deployment resources,True,121.01,117.6,3.32,2024247296.0
10165684171,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r5-34465226083,timed extraction command/children; not total deployment resources,True,107.89,101.79,2.82,2016632832.0
10165696106,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r6-34465226083,timed extraction command/children; not total deployment resources,True,100.27000000000001,79.05,3.45,3415588864.0
10165690673,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r7-34465226083,timed extraction command/children; not total deployment resources,True,109.25,100.31,4.2,3126317056.0
10165692259,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r8-34465226083,timed extraction command/children; not total deployment resources,True,109.55,102.02,3.76,2569539584.0
10165695649,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--ND--r9-34465226083,timed extraction command/children; not total deployment resources,True,109.99000000000001,102.83,3.9,3078737920.0
10165741881,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r0-34465226083,timed extraction command/children; not total deployment resources,True,102.02000000000001,82.54,3.5,2715348992.0
10165747778,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r1-34465226083,timed extraction command/children; not total deployment resources,True,110.47999999999999,99.68,4.43,4141096960.0
10165797445,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r2-34465226083,timed extraction command/children; not total deployment resources,True,113.95,107.42,3.92,3047591936.0
10165783059,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r3-34465226083,timed extraction command/children; not total deployment resources,True,111.97,105.49,3.96,3232907264.0
10165795476,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r4-34465226083,timed extraction command/children; not total deployment resources,True,116.11,113.55,2.96,1971232768.0
10165795928,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r5-34465226083,timed extraction command/children; not total deployment resources,True,121.31,129.53,3.3,2052063232.0
10165790551,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r6-34465226083,timed extraction command/children; not total deployment resources,True,111.95,105.62,4.61,3280441344.0
10165795653,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r7-34465226083,timed extraction command/children; not total deployment resources,True,110.03,98.72,2.77,1653735424.0
10165798440,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r8-34465226083,timed extraction command/children; not total deployment resources,True,116.81,112.76,4.02,3097317376.0
10165802041,v3-comparison-pmx-extraction-opentelemetry_demo--split--N--r9-34465226083,timed extraction command/children; not total deployment resources,True,120.91,126.69,3.31,2013696000.0
10165793711,v3-comparison-pmx-extraction-opentelemetry_demo--split--NC--r0-34465226083,timed extraction command/children; not total deployment resources,True,102.33,97.56,2.86,1561837568.0
