level,profile,scope,mode,view,comparator,operation,expected_operation_cells,common_operation_cells,expected_campaigns,paired_campaigns,proposed_issued_cells,comparator_issued_cells,absolute_error_pp_difference,absolute_error_pp_difference_lower95,absolute_error_pp_difference_upper95,brier_score_difference,brier_score_difference_lower95,brier_score_difference_upper95,signed_error_pp_difference,signed_error_pp_difference_lower95,signed_error_pp_difference_upper95,represented_strata,minimum_pairs_per_stratum
operation,deathstarbench_social_network,current,trace_only,all_sequence,B2,compose_post,80,17,80,17,65,17,1.9013083288738413,0.2375629766130375,3.470524298447745,0.0017101101039050926,0.0003950090631726369,0.0029577410292508113,4.8327495925117345,4.588082902935879,5.066848600766591,2,7
operation,deathstarbench_social_network,current,trace_only,all_sequence,B2,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,trace_only,all_sequence,B2,read_user_timeline,80,17,80,17,65,17,4.470249656167754,3.954161662732428,4.8609902696446134,0.003991204126544909,0.0033508885743322126,0.004666051261569531,4.8327495925117345,4.584848435825221,5.067464296992939,2,7
operation,deathstarbench_social_network,current,trace_only,all_sequence,B3,compose_post,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,trace_only,all_sequence,B3,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,trace_only,all_sequence,B3,read_user_timeline,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,trace_only,all_sequence,B4,compose_post,80,0,80,0,65,0,,,,,,,,,,0,0
operation,deathstarbench_social_network,current,trace_only,all_sequence,B4,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,trace_only,all_sequence,B4,read_user_timeline,80,0,80,0,65,0,,,,,,,,,,0,0
operation,deathstarbench_social_network,current,trace_only,stable,B0,compose_post,80,65,80,65,65,80,-1.2622632064976391,-1.9447021842364212,-0.5760697232934098,-0.0010759825232394796,-0.0015741765099052583,-0.0005625081641153003,3.282588491138297,3.0985557696155017,3.473352150921123,8,3
operation,deathstarbench_social_network,current,trace_only,stable,B0,read_home_timeline,80,80,80,80,80,80,0.5756519772617485,0.5756519772617485,0.5756519772617485,3.793062544842086e-05,3.7930625448420856e-05,3.7930625448420856e-05,-0.5756519772617485,-0.5756519772617485,-0.5756519772617485,8,10
operation,deathstarbench_social_network,current,trace_only,stable,B0,read_user_timeline,80,65,80,65,65,80,0.3938010229755964,-0.5140453001976243,1.305775744704009,0.00020886621002521333,-0.000536821802945143,0.0009848078041038754,6.510986948772809,6.28143222683086,6.751037373866426,8,3
operation,deathstarbench_social_network,current,trace_only,stable,B1,compose_post,80,0,80,0,65,0,,,,,,,,,,0,0
operation,deathstarbench_social_network,current,trace_only,stable,B1,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,trace_only,stable,B1,read_user_timeline,80,0,80,0,65,0,,,,,,,,,,0,0
