profile,scope,mode,view,method,operation,expected_campaigns,issued_campaigns,coverage,all_test_requests,issued_test_requests,observed_all,observed_issued,prediction,signed_error_pp,signed_error_pp_lower95,signed_error_pp_upper95,absolute_error_pp,absolute_error_pp_lower95,absolute_error_pp_upper95,brier_score,brier_score_lower95,brier_score_upper95,represented_strata,minimum_issued_campaigns_per_stratum,absolute_error_median_pp,absolute_error_p90_pp,absence_reasons
opentelemetry_demo,current,no_joint_health,all_sequence,B2,checkout,80,56,0.7,96000,67200,0.6800625,0.6877777777777778,0.8834088511693892,19.56310733916114,17.969819015429103,21.111244729053556,20.22977402244639,18.93362449075162,21.556449056318836,0.2539781737493749,0.2440536780544158,0.2639713158509809,8,2,19.06179522922578,26.719352033314856,"{""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,all_sequence,B3,add_to_cart,80,51,0.6375,96000,61200,0.8282604166666666,0.851125,0.9351584193557396,8.403341935573959,7.674319906728809,9.123331113153998,8.403341935573959,7.674610326683143,9.1252389933049,0.13306501049555972,0.12692161532713392,0.1391926502059781,8,2,8.221367418218083,10.072309728283212,"{""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,all_sequence,B3,browse_product,80,54,0.675,96000,64800,0.8246979166666667,0.837201388888889,0.9328055183031813,9.560412941429234,8.159116916972097,11.617946851799566,9.560412941429234,8.169231888593277,11.637791278579273,0.14182432136849318,0.13138264682645576,0.15690890761519583,8,2,8.347678042034046,11.736553317731659,"{""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,all_sequence,B3,checkout,80,56,0.7,96000,67200,0.6800625,0.6877777777777778,0.9302863559312504,24.250857815347267,22.389238125635046,26.199236044652952,24.250857815347267,22.408851770214778,26.181196385083414,0.2704040636624995,0.2569163344863907,0.28455249833609647,8,2,21.17732999007493,29.0629463322679,"{""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,all_sequence,B4,add_to_cart,80,0,0.0,96000,0,0.8282604166666666,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 51, ""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,all_sequence,B4,browse_product,80,0,0.0,96000,0,0.8246979166666667,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 54, ""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,all_sequence,B4,checkout,80,0,0.0,96000,0,0.6800625,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 56, ""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,all_sequence,proposed,add_to_cart,80,51,0.6375,96000,61200,0.8282604166666666,0.851125,0.9351584193557396,8.403341935573959,7.675000259710708,9.131663477032184,8.403341935573959,7.667259053546596,9.122573426663525,0.13306501049555972,0.12693924050064867,0.13912330600269937,8,2,8.221367418218083,10.072309728283212,"{""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,all_sequence,proposed,browse_product,80,54,0.675,96000,64800,0.8246979166666667,0.837201388888889,0.9328055183031813,9.560412941429234,8.164625365000521,11.649825659589741,9.560412941429234,8.171559545715732,11.63960728914822,0.14182432136849318,0.1314268545057225,0.15664657157177933,8,2,8.347678042034046,11.736553317731659,"{""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,all_sequence,proposed,checkout,80,56,0.7,96000,67200,0.6800625,0.6877777777777778,0.9302863559312504,24.250857815347267,22.42800124375383,26.16571033337656,24.250857815347267,22.430817710205634,26.18286760386277,0.2704040636624995,0.25692203932713303,0.28446936082761903,8,2,21.17732999007493,29.0629463322679,"{""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,stable,B0,add_to_cart,80,80,1.0,72644,72644,0.8528918054619399,0.8528918054619399,0.8425999167360533,-1.0291888725886613,-2.1492178148685075,0.2936114502578856,3.8256614743166195,2.9067813982443647,4.882084165897127,0.11816529224213576,0.11014774129039627,0.12771555118998587,8,10,2.789198247257707,5.668784225461204,{}
opentelemetry_demo,current,no_joint_health,stable,B0,browse_product,80,80,1.0,72647,72647,0.8507387080949838,0.8507387080949838,0.8403413821815154,-1.0397325913468345,-2.217909538823701,0.34377781695786686,3.9817784440436377,3.0278798800958637,5.105147852481352,0.11828796140238516,0.1101353603640302,0.1277500670618663,8,10,2.6055226874793225,6.240554575792064,{}
opentelemetry_demo,current,no_joint_health,stable,B0,checkout,80,80,1.0,72649,72649,0.7254292668380229,0.7254292668380229,0.6999687760199833,-2.5460490818039485,-3.941859196376531,-1.0798572564129323,6.422091781607828,5.419283549230906,7.506866626998722,0.18612364540779075,0.1812043004860186,0.1915550020720865,8,10,5.364595199361605,10.64915644588331,{}
opentelemetry_demo,current,no_joint_health,stable,B1,add_to_cart,80,51,0.6375,72644,47947,0.8528918054619399,0.8764902740227043,0.93285531955932,5.636504553661585,5.097800145590897,6.189011454990009,5.636504553661585,5.089256488872917,6.186186190584888,0.11068602633886437,0.10581950216721231,0.11556671434691783,8,2,5.708736374838763,8.899658452779558,"{""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,stable,B1,browse_product,80,54,0.675,72647,50412,0.8507387080949838,0.865946268188555,0.9334261892702926,6.747992108173757,4.966854957531211,9.314025931249805,6.747992108173757,4.9586039715931625,9.343976360308147,0.11891374431746078,0.10534722108068915,0.13881263262829818,8,2,5.749319408995768,8.557257396916828,"{""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,stable,B1,checkout,80,56,0.7,72649,52301,0.7254292668380229,0.7347235152525486,0.9332873206923945,19.856380543984585,17.7247891138809,22.167904213299625,19.856380543984585,17.75157797619269,22.10542417149791,0.2318118940014758,0.21486124568782716,0.24979880719516864,8,2,16.812146586152938,24.65739352104532,"{""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,stable,B2,add_to_cart,80,51,0.6375,72644,47947,0.8528918054619399,0.8764902740227043,0.9003856297851776,2.3895355762473414,1.770542847245681,3.0192091651184834,5.66885356751495,5.0516527272579514,6.291314127404153,0.11073093526983852,0.10688710995462163,0.11465645754414193,8,2,4.971917157001638,7.923810069913239,"{""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,stable,B2,browse_product,80,54,0.675,72647,50412,0.8507387080949838,0.865946268188555,0.8895257495085886,2.357948132003366,1.5812548238941948,3.1255260710848307,5.329027766149384,4.570725050392396,6.1118575628276455,0.11245781545465473,0.1056622667520701,0.12006959076126851,8,2,5.4645499748393895,8.338150873390264,"{""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,stable,B2,checkout,80,56,0.7,72649,52301,0.7254292668380229,0.7347235152525486,0.8834088511693892,14.868533591684049,13.211011661008563,16.467276175460533,15.900997226529434,14.44148606171635,17.376656824612333,0.21715908648487828,0.2064854802504689,0.22797202691165155,8,2,14.598814432570522,22.428041025353462,"{""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,stable,B3,add_to_cart,80,51,0.6375,72644,47947,0.8528918054619399,0.8764902740227043,0.9351584193557396,5.866814533303537,5.269863066675126,6.465216834442258,5.866814533303537,5.274532611541788,6.464536505654712,0.11095997057313134,0.10601958627887813,0.1159697946380456,8,2,5.874052994036405,8.37257220757046,"{""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,stable,B3,browse_product,80,54,0.675,72647,50412,0.8507387080949838,0.865946268188555,0.9328055183031813,6.685925011462618,5.162821521402358,8.80714737194579,6.747449018160422,5.283802020421695,8.855742381110886,0.11699798079600605,0.10532839636939784,0.13291950432085664,8,2,5.640973547063139,9.843031484769165,"{""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,stable,B3,checkout,80,56,0.7,72649,52301,0.7254292668380229,0.7347235152525486,0.9302863559312504,19.556284067870177,17.570543306623986,21.673128845498155,19.556284067870177,17.609107412491948,21.607324595516143,0.22980763157199932,0.2152802747849464,0.24492071077048674,8,2,16.60997913032184,25.767399286233804,"{""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,stable,B4,add_to_cart,80,0,0.0,72644,0,0.8528918054619399,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 51, ""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,stable,B4,browse_product,80,0,0.0,72647,0,0.8507387080949838,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 54, ""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,stable,B4,checkout,80,0,0.0,72649,0,0.7254292668380229,,,,,,,,,,,,0,0,,,"{""insufficient_complete_path_ticks"": 56, ""topology_ambiguous_target_fraction"": 24}"
