campaign_id,profile,placement,failure_law,repetition,source_run_id,operation,all_sequence_requests,all_sequence_successes,all_sequence_availability,stable_requests,stable_successes,stable_availability
deathstarbench_social_network--split--NC--r1,deathstarbench_social_network,split,NC,1,33990678586,compose_post,1200,1087,0.9058333333333334,904,866,0.9579646017699115
deathstarbench_social_network--split--NC--r1,deathstarbench_social_network,split,NC,1,33990678586,read_home_timeline,1200,1200,1.0,909,909,1.0
deathstarbench_social_network--split--NC--r1,deathstarbench_social_network,split,NC,1,33990678586,read_user_timeline,1200,1063,0.8858333333333334,894,844,0.9440715883668904
deathstarbench_social_network--split--NC--r2,deathstarbench_social_network,split,NC,2,33990678586,compose_post,1200,1029,0.8575,847,768,0.9067296340023613
deathstarbench_social_network--split--NC--r2,deathstarbench_social_network,split,NC,2,33990678586,read_home_timeline,1200,1200,1.0,809,809,1.0
deathstarbench_social_network--split--NC--r2,deathstarbench_social_network,split,NC,2,33990678586,read_user_timeline,1200,1013,0.8441666666666666,810,714,0.8814814814814815
deathstarbench_social_network--split--NC--r3,deathstarbench_social_network,split,NC,3,33990678586,compose_post,1200,1061,0.8841666666666667,869,816,0.9390103567318757
deathstarbench_social_network--split--NC--r3,deathstarbench_social_network,split,NC,3,33990678586,read_home_timeline,1200,1200,1.0,838,838,1.0
deathstarbench_social_network--split--NC--r3,deathstarbench_social_network,split,NC,3,33990678586,read_user_timeline,1200,1051,0.8758333333333334,857,784,0.9148191365227538
deathstarbench_social_network--split--NC--r4,deathstarbench_social_network,split,NC,4,33990678586,compose_post,1200,1060,0.8833333333333333,838,769,0.9176610978520287
deathstarbench_social_network--split--NC--r4,deathstarbench_social_network,split,NC,4,33990678586,read_home_timeline,1200,1200,1.0,858,858,1.0
deathstarbench_social_network--split--NC--r4,deathstarbench_social_network,split,NC,4,33990678586,read_user_timeline,1200,1003,0.8358333333333333,849,740,0.8716136631330977
deathstarbench_social_network--split--NC--r5,deathstarbench_social_network,split,NC,5,33990678586,compose_post,1200,1075,0.8958333333333334,877,830,0.9464082098061574
deathstarbench_social_network--split--NC--r5,deathstarbench_social_network,split,NC,5,33990678586,read_home_timeline,1200,1200,1.0,908,908,1.0
deathstarbench_social_network--split--NC--r5,deathstarbench_social_network,split,NC,5,33990678586,read_user_timeline,1200,1034,0.8616666666666667,890,804,0.903370786516854
deathstarbench_social_network--split--NC--r6,deathstarbench_social_network,split,NC,6,33990678586,compose_post,1200,1043,0.8691666666666666,858,773,0.9009324009324009
deathstarbench_social_network--split--NC--r6,deathstarbench_social_network,split,NC,6,33990678586,read_home_timeline,1200,1200,1.0,865,865,1.0
deathstarbench_social_network--split--NC--r6,deathstarbench_social_network,split,NC,6,33990678586,read_user_timeline,1200,1009,0.8408333333333333,855,756,0.8842105263157894
deathstarbench_social_network--split--NC--r7,deathstarbench_social_network,split,NC,7,33990678586,compose_post,1200,1070,0.8916666666666667,886,823,0.9288939051918735
deathstarbench_social_network--split--NC--r7,deathstarbench_social_network,split,NC,7,33990678586,read_home_timeline,1200,1200,1.0,870,870,1.0
deathstarbench_social_network--split--NC--r7,deathstarbench_social_network,split,NC,7,33990678586,read_user_timeline,1200,1037,0.8641666666666666,860,773,0.8988372093023256
deathstarbench_social_network--split--NC--r8,deathstarbench_social_network,split,NC,8,33990678586,compose_post,1200,1071,0.8925,860,811,0.9430232558139535
deathstarbench_social_network--split--NC--r8,deathstarbench_social_network,split,NC,8,33990678586,read_home_timeline,1200,1200,1.0,834,834,1.0
deathstarbench_social_network--split--NC--r8,deathstarbench_social_network,split,NC,8,33990678586,read_user_timeline,1200,1037,0.8641666666666666,854,773,0.905152224824356
deathstarbench_social_network--split--NC--r9,deathstarbench_social_network,split,NC,9,33990678586,compose_post,1200,1059,0.8825,842,789,0.9370546318289786
deathstarbench_social_network--split--NC--r9,deathstarbench_social_network,split,NC,9,33990678586,read_home_timeline,1200,1200,1.0,798,798,1.0
deathstarbench_social_network--split--NC--r9,deathstarbench_social_network,split,NC,9,33990678586,read_user_timeline,1200,1025,0.8541666666666666,817,740,0.9057527539779682
deathstarbench_social_network--split--ND--r0,deathstarbench_social_network,split,ND,0,33990678586,compose_post,1200,1116,0.93,929,893,0.961248654467169
deathstarbench_social_network--split--ND--r0,deathstarbench_social_network,split,ND,0,33990678586,read_home_timeline,1200,1200,1.0,951,951,1.0
deathstarbench_social_network--split--ND--r0,deathstarbench_social_network,split,ND,0,33990678586,read_user_timeline,1200,1051,0.8758333333333334,958,862,0.8997912317327766
