profile,scope,mode,view,method,operation,source_placement,target_placement,failure_law,expected_campaigns,issued_campaigns,coverage,all_test_requests,issued_test_requests,observed_all,observed_issued,prediction,signed_error_pp,signed_error_pp_lower95,signed_error_pp_upper95,absolute_error_pp,absolute_error_pp_lower95,absolute_error_pp_upper95,brier_score,brier_score_lower95,brier_score_upper95,represented_strata,minimum_issued_campaigns_per_stratum,absolute_error_median_pp,absolute_error_p90_pp,absence_reasons
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,split,split,ND,10,10,1.0,12000,12000,0.8605833333333333,0.8605833333333333,0.9352994720134683,7.471613868013506,6.6460309920499085,8.421855589098861,7.471613868013506,6.638437071936532,8.43157705282516,0.12550854871480582,0.11721442949252998,0.13400140531988988,1,10,7.174275176238609,9.016739407688869,{}
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,colocated,colocated,N,10,10,1.0,12000,12000,0.9514166666666666,0.9514166666666666,0.9679091338304786,1.6492467163812061,0.9347679465449619,2.324200220874647,1.7226216164909036,1.1045782063287999,2.3375576616418114,0.046549803480682314,0.04125431412001469,0.05118279512887611,1,10,1.5309134573833705,2.964082174596726,{}
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,colocated,colocated,NC,10,8,0.8,12000,9600,0.89875,0.9007291666666667,0.9257237363071874,2.4994569640520714,1.0621627063272827,3.886915738321469,2.699434526543265,1.5434210994894921,3.979991478823011,0.09023106346112343,0.08115383068231755,0.09916080586000192,1,8,2.8687027989937497,4.455475213312094,"{""topology_ambiguous_target_fraction"": 2}"
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,colocated,colocated,NCD,10,7,0.7,12000,8400,0.8193333333333334,0.819047619047619,0.8362096280277076,1.7162008980088541,-1.038775923151585,4.241249958080811,3.5585876554331413,2.1548443019864516,4.871210443216205,0.14904362328527854,0.13534102870363715,0.16305893746343644,1,7,4.26265578971633,5.329676499188592,"{""topology_ambiguous_target_fraction"": 3}"
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,colocated,colocated,ND,10,10,1.0,12000,12000,0.86725,0.86725,0.8707261728561375,0.34761728561375715,-0.9080704375506707,1.4477536388824295,1.6924297597560067,1.1057218493654604,2.340320382090183,0.11529650439020225,0.10871856479297609,0.1218476686923976,1,10,1.5622028607365168,2.7243234540496872,{}
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,split,split,N,10,10,1.0,12000,12000,0.9428333333333333,0.9428333333333333,0.9685640144245224,2.573068109118913,2.028907077672139,3.111265657146809,2.573068109118913,2.0258610773862626,3.1352534215663694,0.05455479158463872,0.0492647888901175,0.05994224314597734,1,10,2.4211408750889563,3.6866381664235037,{}
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,split,split,NC,10,3,0.3,12000,3600,0.884,0.8891666666666667,0.9324850154214089,4.3318348754742315,3.940766644127247,4.599738892556237,4.3318348754742315,3.940766644127247,4.599738892556237,0.10041665114301716,0.09805950978796944,0.10460851972990214,1,3,4.454999089739209,4.570790931992832,"{""topology_ambiguous_target_fraction"": 7}"
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,split,split,NCD,10,7,0.7,12000,8400,0.8634166666666667,0.8585714285714285,0.879810923299773,2.123949472834436,0.34460759648630473,4.026539442587212,2.5943865027503326,1.191305127738854,4.1246560907826355,0.1222490018298702,0.11413226967782449,0.13237146853782328,1,7,2.8463821927958044,4.982383676069976,"{""topology_ambiguous_target_fraction"": 3}"
deathstarbench_social_network,current,full,all_sequence,B2,compose_post,split,split,ND,10,10,1.0,12000,12000,0.9059166666666666,0.9059166666666666,0.9352994720134683,2.938280534680171,1.7801390536614194,3.9912614310212753,3.0494352363243915,2.067583835016348,4.026275369546408,0.0861911213323679,0.07825403338202659,0.09414654455924713,1,10,2.6603570599259383,4.975072741022201,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,colocated,colocated,N,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,colocated,colocated,NC,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,colocated,colocated,NCD,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,colocated,colocated,ND,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,split,split,N,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,split,split,NC,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,split,split,NCD,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_home_timeline,split,split,ND,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B2,read_user_timeline,colocated,colocated,N,10,10,1.0,12000,12000,0.9178333333333333,0.9178333333333333,0.9679091338304786,5.007580049714539,4.318181309545147,5.653878386192663,5.007580049714539,4.309619099736921,5.655701042130136,0.07794527326070601,0.07208841079564823,0.08342701033978646,1,10,5.17254550752681,6.075596846615131,{}
