campaign_id,profile,placement,failure_law,repetition,operations,source_run_id
opentelemetry_demo--split--ND--r3,opentelemetry_demo,split,ND,3,3,33990678586
opentelemetry_demo--split--ND--r4,opentelemetry_demo,split,ND,4,3,33990678586
opentelemetry_demo--split--ND--r5,opentelemetry_demo,split,ND,5,3,33990678586
opentelemetry_demo--split--ND--r6,opentelemetry_demo,split,ND,6,3,33990678586
opentelemetry_demo--split--ND--r7,opentelemetry_demo,split,ND,7,3,33990678586
opentelemetry_demo--split--ND--r8,opentelemetry_demo,split,ND,8,3,33990678586
opentelemetry_demo--split--ND--r9,opentelemetry_demo,split,ND,9,3,33990678586
opentelemetry_demo--split--NCD--r0,opentelemetry_demo,split,NCD,0,3,33990678586
opentelemetry_demo--split--NCD--r1,opentelemetry_demo,split,NCD,1,3,33990678586
opentelemetry_demo--split--NCD--r2,opentelemetry_demo,split,NCD,2,3,33990678586
opentelemetry_demo--split--NCD--r3,opentelemetry_demo,split,NCD,3,3,33990678586
opentelemetry_demo--split--NCD--r4,opentelemetry_demo,split,NCD,4,3,33990678586
opentelemetry_demo--split--NCD--r5,opentelemetry_demo,split,NCD,5,3,33990678586
opentelemetry_demo--split--NCD--r6,opentelemetry_demo,split,NCD,6,3,33990678586
opentelemetry_demo--split--NCD--r7,opentelemetry_demo,split,NCD,7,3,33990678586
opentelemetry_demo--split--NCD--r8,opentelemetry_demo,split,NCD,8,3,33990678586
opentelemetry_demo--split--NCD--r9,opentelemetry_demo,split,NCD,9,3,33990678586
