profile,case_id,phase,functional,lower_exact,upper_exact,status
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,without_completion,557/600,557/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,without_deadline_minus_execution,43/600,43/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,without_selection,557/600,557/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,execution,0,436/477,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,reachability_minus_execution,41/477,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,selected_minus_execution,41/477,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,without_completion,436/477,436/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,without_completion_minus_execution,0,436/477,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,without_deadline,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,without_deadline_minus_execution,0,41/477,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,without_selection,0,436/477,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,execution,0,436/477,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,reachability_minus_execution,41/477,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,selected_minus_execution,41/477,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,without_completion,436/477,436/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,without_completion_minus_execution,0,436/477,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,without_deadline,0,1,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,without_deadline_minus_execution,0,41/477,ambiguous
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,without_selection,0,436/477,ambiguous
