profile,case_id,method,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,1,0,False,0.12,0.12000000000000001,35.9765625
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,1,0,False,0.25,0.25,76.8671875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,1,0,False,0.27,0.26,76.921875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,1,0,False,0.29,0.29000000000000004,95.109375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,1,0,False,0.13,0.13,36.17578125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,1,0,False,0.27,0.27,77.203125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,1,0,False,0.28,0.28,77.12109375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,1,0,False,0.61,0.61,48.3046875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,prepared_specialized,1,0,False,0.12,0.11,35.9375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_controls_first,1,0,False,0.26,0.25,76.90234375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,cudd_sift_once,1,0,False,0.27,0.26,76.7421875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,agrum_lazy,1,0,False,0.15,0.15,47.37890625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,1,0,False,0.24,0.24,93.58203125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,cudd_controls_first,1,0,False,0.26,0.26,76.94140625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,cudd_sift_once,1,0,False,0.26,0.26,76.8984375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,agrum_lazy,1,0,False,0.49,0.49,47.9140625
