profile,phase,method,planned,qualified,failed,total_median_ms,cpu_median_ms,key_check_median_ms,construction_median_ms,data_update_median_ms,inference_median_ms,reconstructed_records,fully_paired_cases,other_over_prepared_median
synthetic,counts,storm_exact,81,81,0,3.5171,3.519726,0.063789,0.0,0.129362,3.304644,0,27,7.3413808528392135
synthetic,masks,prepared_specialized,81,81,0,0.490926,0.49322,0.063769,0.0,0.0,0.418892,0,0,
synthetic,masks,cudd_controls_first,81,81,0,0.569123,0.571245,0.066455,0.0,0.0,0.493211,0,27,1.1577788003436287
synthetic,masks,cudd_sift_once,81,81,0,0.557431,0.559483,0.063148,0.0,0.0,0.483573,0,27,1.1371788185389937
synthetic,masks,agrum_lazy,81,78,3,26.731095,26.733647,0.067246,0.0,4.178558000000001,22.506017,0,26,54.141564615055955
synthetic,masks,storm_exact,81,81,0,7.9336,7.936073,0.06434,0.0,4.906681,3.320101,0,27,15.822014920928607
synthetic,metadata,prepared_specialized,81,81,0,0.501496,0.503519,0.064941,0.0,0.0,0.424542,0,0,
synthetic,metadata,cudd_controls_first,81,81,0,0.545039,0.547141,0.065522,0.0,0.0,0.465108,0,27,1.09786188762801
synthetic,metadata,cudd_sift_once,81,81,0,0.542813,0.545007,0.064951,0.0,0.0,0.467743,0,27,1.107650625286948
synthetic,metadata,agrum_lazy,81,78,3,23.056829,23.059428,0.0851035,0.0,0.009367,22.9824645,0,26,46.80656263269009
synthetic,metadata,storm_exact,81,81,0,3.418654,3.421111,0.066444,0.0,0.002084,3.337613,0,27,6.839441905874633
synthetic,structure,prepared_specialized,81,81,0,49.884249,49.87368,0.062075,49.403271,0.0,0.435153,81,0,
synthetic,structure,cudd_controls_first,81,81,0,5.628368,5.630643,0.064671,5.053605,0.0,0.476159,81,27,0.1312660710012265
synthetic,structure,cudd_sift_once,81,81,0,7.062644,7.065039,0.065673,6.439681,0.0,0.55154,81,27,0.16489953180300276
synthetic,structure,agrum_lazy,81,78,3,21.046021,21.044449,0.071879,7.437168,0.008165,12.9211575,78,26,0.4544426102618263
synthetic,structure,storm_exact,81,81,0,7.684452,7.686879,0.063018,4.451516,0.002224,3.202309,81,27,0.14275717841307098
synthetic,restore,prepared_specialized,81,81,0,76.061896,76.064163,0.070241,75.262885,0.0,0.43932,81,0,
synthetic,restore,cudd_controls_first,81,81,0,5.304498,5.306619,0.063929,4.671942,0.0,0.49865,81,27,0.07966696786146388
synthetic,restore,cudd_sift_once,81,81,0,7.066603,7.060761,0.063398,6.495745,0.0,0.501015,81,27,0.11325936110768123
synthetic,restore,agrum_lazy,81,78,3,39.884201000000004,39.886675499999996,0.0726205,16.103751000000003,0.007534,24.5670555,78,26,0.5282437870300204
synthetic,restore,storm_exact,81,81,0,7.988763,7.991487,0.064841,5.608831,0.002284,3.398729,81,27,0.1040178308445965
