profile,case_id,method,round,phase,status,total_ms,cpu_ms,key_check_ms,construction_ms,data_update_ms,inference_and_validation_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,0,structure,qualified,1.06861,1.070641,0.027251,0.72706,0.0,0.313186,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,0,restore,qualified,1.467606,1.469556,0.029045,1.128131,0.0,0.309249,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,0,initial,qualified,5.472029,5.478457,0.052058,4.957095,0.0,0.461213,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,0,repeat,qualified,0.481841,0.484164,0.038201,0.0,0.0,0.442437,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,0,counts,qualified,0.387355,0.389458,0.03202,0.0,0.0,0.354293,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,0,masks,qualified,0.405709,0.407912,0.031579,0.0,0.0,0.373129,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,0,metadata,qualified,0.394999,0.397012,0.029235,0.0,0.0,0.364682,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,0,structure,qualified,5.257087,5.259458,0.033182,4.855445,0.0,0.366927,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_controls_first,0,restore,qualified,3.673503,3.676009,0.032391,3.260791,0.0,0.378898,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,0,initial,qualified,80.426502,80.422505,0.096079,16.912315,0.009558,63.405933,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,0,repeat,qualified,63.666872,63.670153,0.081082,0.0,0.014788,63.569279,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,0,counts,qualified,62.980839,62.966727,0.073247,0.0,0.261389,62.64458,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,0,masks,qualified,74.915673,74.920605,0.075511,0.0,11.020745,63.817183,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,0,metadata,qualified,63.912151,63.916863,0.082815,0.0,0.019646,63.807766,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,0,structure,qualified,31.333491,31.337576,0.087934,5.403668,0.011571,25.827833,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,agrum_lazy,0,restore,qualified,79.609224,79.612903,0.085189,16.189063,0.009778,63.322779,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,0,initial,qualified,13.544616,13.549689,0.09103,7.125689,0.004699,6.320954,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,0,repeat,qualified,6.070525,6.073298,0.070672,0.0,0.004398,5.994193,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,0,counts,qualified,6.280358,6.28325,0.066695,0.0,0.219961,5.99225,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,0,masks,qualified,12.4453,12.44816,0.067337,0.0,6.113946,6.262484,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,0,metadata,qualified,6.422344,6.424885,0.064951,0.0,0.003447,6.352603,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,0,structure,qualified,11.378464,11.381277,0.084628,5.225996,0.003898,6.061928,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,storm_exact,0,restore,qualified,12.29564,12.298019,0.063468,5.908322,0.003818,6.318108,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,0,initial,qualified,3.411501,3.417376,0.085511,1.728814,0.0,1.595495,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,0,repeat,qualified,1.557143,1.559744,0.065813,0.0,0.0,1.490057,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,0,counts,qualified,1.587779,1.589951,0.060002,0.0,0.0,1.526666,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,0,masks,qualified,1.6142,1.61634,0.067166,0.0,0.0,1.545731,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,0,metadata,qualified,1.555279,1.557179,0.06401,0.0,0.0,1.490167,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,0,structure,qualified,2.45935,2.46162,0.067546,0.915032,0.0,1.475449,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,prepared_specialized,0,restore,qualified,3.884707,3.886823,0.063298,1.570137,0.0,2.249789,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,0,initial,qualified,6.823734,6.829581,0.096731,4.959878,0.0,1.764952,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,0,repeat,qualified,1.666297,1.668718,0.07435,0.0,0.0,1.590575,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,0,counts,qualified,1.636031,1.638112,0.063068,0.0,0.0,1.57177,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,0,masks,qualified,1.815516,1.817736,0.09074,0.0,0.0,1.723284,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,0,metadata,qualified,1.664754,1.666985,0.062667,0.0,0.0,1.600955,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,0,structure,qualified,6.727153,6.730446,0.061405,5.077818,0.0,1.586106,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_controls_first,0,restore,qualified,6.605917,6.608348,0.06456,4.830055,0.0,1.709427,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,0,initial,qualified,8.02946,8.037538,0.090229,6.198324,0.0,1.738842,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,0,repeat,qualified,1.696843,1.699386,0.119714,0.0,0.0,1.575758,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,0,counts,qualified,1.713755,1.716037,0.062437,0.0,0.0,1.649946,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,0,masks,qualified,1.70033,1.702441,0.068959,0.0,0.0,1.630279,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,0,metadata,qualified,1.655757,1.658148,0.068107,0.0,0.0,1.586448,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,0,structure,qualified,8.139335,8.142886,0.070462,6.258336,0.0,1.808503,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,cudd_sift_once,0,restore,qualified,7.912701,7.915722,0.066986,6.166876,0.0,1.676786,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,storm_exact,0,initial,qualified,2.238006,2.243612,0.051457,1.639347,0.001653,0.543446,True,
