profile,case_id,phase,method,paired_rounds,other_over_prepared_median,min_ratio,max_ratio
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,restore,cudd_sift_once,3,2.03688489247709,2.0340851190563862,2.1397781831372353
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,restore,agrum_lazy,3,20.492980294266722,19.855009615031754,22.151728853821915
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,restore,storm_exact,3,3.1651396102717655,3.052498098338196,3.3796459407832162
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,initial,cudd_controls_first,3,12.267885764243042,12.260025699047151,13.058699946390538
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,initial,cudd_sift_once,3,15.367215157471758,14.534488215758618,15.91658409830492
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,initial,agrum_lazy,3,11.563501211728969,11.498244208072272,11.614265429624298
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,initial,storm_exact,3,5.544616595750846,5.286270378541295,5.553494584486862
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,repeat,cudd_controls_first,3,1.1378051629482537,0.9334823978558142,1.3144587147283522
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,repeat,cudd_sift_once,3,1.2334189931082817,0.9688429110543711,1.2677156507959033
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,repeat,agrum_lazy,3,13.50938409139289,11.391841158407093,13.606658100689172
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,repeat,storm_exact,3,2.266125452634038,1.901202442965733,2.370503086638757
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,counts,cudd_controls_first,3,1.1323508286210544,1.0793619434849664,1.257513594872791
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,counts,cudd_sift_once,3,1.0471706737361732,1.0156947951058457,1.1234816523700881
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,counts,agrum_lazy,3,14.613801190461016,13.765828316177899,14.88503780705993
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,counts,storm_exact,3,2.249002638387907,2.0768049621285685,2.260437752210309
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,masks,cudd_controls_first,3,1.7293308726039536,1.6518731602890018,1.7435624342761615
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,masks,cudd_sift_once,3,1.7595592007515442,1.5623963071982874,1.9393453231590585
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,masks,agrum_lazy,3,17.626364731067703,17.223824213310593,17.9178890177151
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,masks,storm_exact,3,13.729330872603954,13.54037998394434,14.202294604578423
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,metadata,cudd_controls_first,3,1.1652471683203092,1.1579854889205947,1.18448617210032
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,metadata,cudd_sift_once,3,1.1420331358868543,1.0951956868736,1.2022963478872382
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,metadata,agrum_lazy,3,15.107323530802326,15.103639941306538,15.335349687955992
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,metadata,storm_exact,3,3.9430990662656793,3.9121356170589707,4.39261230472048
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,structure,cudd_controls_first,3,20.474941386754566,19.413913937118,20.949148169350224
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,structure,cudd_sift_once,3,24.734065076458272,24.63851419448991,25.13993283657157
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,structure,agrum_lazy,3,5.1489101122727305,5.1280670396248755,5.4957388310609785
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,structure,storm_exact,3,7.540126103989429,7.4314476504406635,7.729957993017649
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,restore,cudd_controls_first,3,18.50517602996255,18.164167430218786,18.571240461101315
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,restore,cudd_sift_once,3,22.886677902621724,22.13965182023376,23.617716362628308
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,restore,agrum_lazy,3,14.24589138576779,14.119981972720703,14.754237157619952
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_home_timeline,restore,storm_exact,3,5.68,5.539332245737144,5.884004681857034
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,initial,cudd_controls_first,3,2.390889171133656,2.37641961615119,2.4792131479340176
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,initial,cudd_sift_once,3,2.8329443615968706,2.823083740043133,2.835264801640916
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,initial,agrum_lazy,3,21.434224162296267,21.104392742020956,21.5080215619128
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,initial,storm_exact,3,3.0059421000828896,2.993509589005327,3.029202819415416
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,repeat,cudd_controls_first,3,1.0807154029241755,1.0511535897821833,1.1062897832664538
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,repeat,cudd_sift_once,3,1.0963524494085035,1.0707446451527987,1.1087385243114587
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,repeat,agrum_lazy,3,34.367196191771505,33.26989811243794,35.14998265747764
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,repeat,storm_exact,3,2.4774773416175293,2.398456797966549,2.5031179870792246
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,counts,cudd_controls_first,3,1.053842150373439,1.0429868598102896,1.0591862123864981
