application,placement,law,repetition,operation,status,attempts,successes,lower_exact,upper_exact,b0_exact,success_excluded,failure_excluded,incompatible_attempts,incompatible_fraction,fully_observed_attempts,fully_observed_mismatches,ambiguous_attempts,aggregate_excess_above_upper_count,aggregate_deficit_below_lower_count,aggregate_contains_b0,incompatible_despite_aggregate_containment,ablation_without_selection_incompatible_attempts
deathstarbench_social_network,colocated,ND,8,compose_post,audited,1200,1039,1039/1200,1039/1200,1039/1200,0,0,0,0.0,1187,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,8,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,8,read_user_timeline,audited,1200,967,967/1200,967/1200,967/1200,0,0,0,0.0,1190,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,9,compose_post,audited,1200,1021,1021/1200,1021/1200,1021/1200,0,0,0,0.0,1192,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,9,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,9,read_user_timeline,audited,1200,981,327/400,327/400,327/400,0,0,0,0.0,1192,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,0,compose_post,audited,1200,1123,1123/1200,1123/1200,1123/1200,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,0,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,0,read_user_timeline,audited,1200,1091,1091/1200,1091/1200,1091/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,1,compose_post,audited,1200,1125,15/16,15/16,15/16,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,1,read_user_timeline,audited,1200,1080,9/10,9/10,9/10,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,2,compose_post,audited,1200,1140,19/20,19/20,19/20,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,2,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,2,read_user_timeline,audited,1200,1099,1099/1200,1099/1200,1099/1200,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,3,compose_post,audited,1200,1142,571/600,571/600,571/600,0,0,0,0.0,1199,0,0,0,0,True,False,0
