application,placement,law,repetition,operation,affected_attempts,ambiguities_resolved,ambiguous_attempts,attempts,compatible_fraction,failure_excluded,fully_observed_states,hidden_native_coordinates,identified_lower,identified_upper,information,known_native_coordinates,lower_count,mechanism,missing_fraction_requested,partially_masked_attempts,point_identified_attempts,point_identified_fraction,revealed_attempts,revealed_native_coordinates,success_excluded,successes,upper_count,whole_attempt_boundary_partial_row,width
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,13444,0.0,0.95,none,17926,0,failure_associated_coordinates,0.75,1128,60,0.05,0,0,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,13444,0.0,0.95,selection_and_admission,17926,0,failure_associated_coordinates,0.75,1128,60,0.05,1176,2668,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,1,1139,1200,1.0,0,0,13444,0.0,0.9491666666666667,entry_result,17926,0,failure_associated_coordinates,0.75,1128,61,0.050833333333333335,900,900,0,1139,1139,False,0.9491666666666667
deathstarbench_social_network,split,N,0,compose_post,1200,4,1136,1200,1.0,0,0,13444,0.0033333333333333335,0.95,required_completions,17926,4,failure_associated_coordinates,0.75,1128,64,0.05333333333333334,1199,9876,0,1139,1140,False,0.9466666666666667
deathstarbench_social_network,split,N,0,compose_post,1200,1140,0,1200,1.0,0,0,13444,0.9491666666666667,0.9491666666666667,all_native,17926,1139,failure_associated_coordinates,0.75,1128,1200,1.0,1200,13444,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,17926,0.0,0.95,none,17926,0,failure_associated_coordinates,1,0,60,0.05,0,0,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,17926,0.0,0.95,selection_and_admission,17926,0,failure_associated_coordinates,1,0,60,0.05,1199,3537,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,1,1139,1200,1.0,0,0,17926,0.0,0.9491666666666667,entry_result,17926,0,failure_associated_coordinates,1,0,61,0.050833333333333335,1200,1200,0,1139,1139,False,0.9491666666666667
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,17926,0.0,0.95,required_completions,17926,0,failure_associated_coordinates,1,0,60,0.05,1199,13189,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,1140,0,1200,1.0,0,0,17926,0.9491666666666667,0.9491666666666667,all_native,17926,1139,failure_associated_coordinates,1,0,1200,1.0,1200,17926,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,none,17926,1139,whole_native_attempt,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,selection_and_admission,17926,1139,whole_native_attempt,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,entry_result,17926,1139,whole_native_attempt,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,required_completions,17926,1139,whole_native_attempt,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,0,0,0,1200,1.0,0,0,0,0.9491666666666667,0.9491666666666667,all_native,17926,1139,whole_native_attempt,0,0,1200,1.0,0,0,0,1139,1139,False,0.0
