application,mechanism,missing_fraction_requested,information,operation_cases,attempts,successes,lower_count,upper_count,ambiguous_attempts,point_identified_attempts,success_excluded,failure_excluded,fully_observed_states,known_native_coordinates,hidden_native_coordinates,affected_attempts,revealed_native_coordinates,revealed_attempts,ambiguities_resolved,identified_lower,identified_upper,width,point_identified_fraction,compatible_fraction
deathstarbench_social_network,whole_native_attempt,1,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,143444,18000,143444,18000,15832,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
opentelemetry_demo,uniform_coordinates,0,none,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0,selection_and_admission,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0,entry_result,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0,required_completions,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0.1,none,18,21600,18229,5511,18230,12719,8881,0,0,693,198348,19827,12429,0,0,0,0.2551388888888889,0.8439814814814814,0.5888425925925926,0.4111574074074074,1.0
opentelemetry_demo,uniform_coordinates,0.1,selection_and_admission,18,21600,18229,7404,18230,10826,10774,0,0,1071,198348,19827,12429,5603,4966,1893,0.3427777777777778,0.8439814814814814,0.5012037037037037,0.4987962962962963,1.0
opentelemetry_demo,uniform_coordinates,0.1,entry_result,18,21600,18229,6123,18229,12106,9494,0,0,770,198348,19827,12429,2135,2135,613,0.28347222222222224,0.8439351851851852,0.5604629629629629,0.43953703703703706,1.0
opentelemetry_demo,uniform_coordinates,0.1,required_completions,18,21600,18229,10286,18229,7943,13657,0,0,2509,198348,19827,12429,12089,8761,4776,0.4762037037037037,0.8439351851851852,0.3677314814814815,0.6322685185185185,1.0
opentelemetry_demo,uniform_coordinates,0.1,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,19827,12429,19827,12429,9690,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0.25,none,18,21600,18229,1174,18232,17058,4542,0,0,34,198348,49581,18570,0,0,0,0.05435185185185185,0.8440740740740741,0.7897222222222222,0.21027777777777779,1.0
opentelemetry_demo,uniform_coordinates,0.25,selection_and_admission,18,21600,18229,2734,18232,15498,6102,0,0,94,198348,49581,18570,13785,10358,1560,0.12657407407407406,0.8440740740740741,0.7175,0.2825,1.0
opentelemetry_demo,uniform_coordinates,0.25,entry_result,18,21600,18229,1575,18229,16654,4946,0,0,36,198348,49581,18570,5416,5416,404,0.07291666666666667,0.8439351851851852,0.7710185185185185,0.22898148148148148,1.0
opentelemetry_demo,uniform_coordinates,0.25,required_completions,18,21600,18229,5191,18229,13038,8562,0,0,1036,198348,49581,18570,30380,14992,4020,0.24032407407407408,0.8439351851851852,0.6036111111111111,0.3963888888888889,1.0
opentelemetry_demo,uniform_coordinates,0.25,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,49581,18570,49581,18570,14029,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0.5,none,18,21600,18229,59,18258,18199,3401,0,0,0,198348,99171,20981,0,0,0,0.0027314814814814814,0.8452777777777778,0.8425462962962963,0.1574537037037037,1.0
opentelemetry_demo,uniform_coordinates,0.5,selection_and_admission,18,21600,18229,426,18258,17832,3768,0,0,1,198348,99171,20981,27598,15491,367,0.01972222222222222,0.8452777777777778,0.8255555555555556,0.17444444444444446,1.0
opentelemetry_demo,uniform_coordinates,0.5,entry_result,18,21600,18229,124,18229,18105,3495,0,0,0,198348,99171,20981,10865,10865,94,0.005740740740740741,0.8439351851851852,0.8381944444444445,0.16180555555555556,1.0
opentelemetry_demo,uniform_coordinates,0.5,required_completions,18,21600,18229,1100,18229,17129,4471,0,0,141,198348,99171,20981,60708,19216,1070,0.05092592592592592,0.8439351851851852,0.7930092592592592,0.20699074074074075,1.0
opentelemetry_demo,uniform_coordinates,0.5,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,99171,20981,99171,20981,15170,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,0.75,none,18,21600,18229,0,18300,18300,3300,0,0,0,198348,148754,21490,0,0,0,0.0,0.8472222222222222,0.8472222222222222,0.1527777777777778,1.0
opentelemetry_demo,uniform_coordinates,0.75,selection_and_admission,18,21600,18229,18,18300,18282,3318,0,0,0,198348,148754,21490,41604,17460,18,0.0008333333333333334,0.8472222222222222,0.8463888888888889,0.15361111111111111,1.0
opentelemetry_demo,uniform_coordinates,0.75,entry_result,18,21600,18229,1,18229,18228,3372,0,0,0,198348,148754,21490,16112,16112,72,4.6296296296296294e-05,0.8439351851851852,0.8438888888888889,0.15611111111111112,1.0
opentelemetry_demo,uniform_coordinates,0.75,required_completions,18,21600,18229,86,18229,18143,3457,0,0,6,198348,148754,21490,91038,20896,157,0.003981481481481482,0.8439351851851852,0.8399537037037037,0.1600462962962963,1.0
opentelemetry_demo,uniform_coordinates,0.75,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,148754,21490,148754,21490,15271,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,uniform_coordinates,1,none,18,21600,18229,0,18360,18360,3240,0,0,0,198348,198348,21599,0,0,0,0.0,0.85,0.85,0.15,1.0
opentelemetry_demo,uniform_coordinates,1,selection_and_admission,18,21600,18229,0,18360,18360,3240,0,0,0,198348,198348,21599,55412,17906,0,0.0,0.85,0.85,0.15,1.0
opentelemetry_demo,uniform_coordinates,1,entry_result,18,21600,18229,0,18229,18229,3371,0,0,0,198348,198348,21599,21590,21590,131,0.0,0.8439351851851852,0.8439351851851852,0.15606481481481482,1.0
opentelemetry_demo,uniform_coordinates,1,required_completions,18,21600,18229,0,18229,18229,3371,0,0,0,198348,198348,21599,121346,21596,131,0.0,0.8439351851851852,0.8439351851851852,0.15606481481481482,1.0
opentelemetry_demo,uniform_coordinates,1,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,198348,21599,198348,21599,15331,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0,none,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0,selection_and_admission,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0,entry_result,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0,required_completions,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,0,0,0,0,0,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0.1,none,18,21600,18229,6852,18237,11385,10215,0,0,1176,198348,19827,12157,0,0,0,0.31722222222222224,0.8443055555555555,0.5270833333333333,0.47291666666666665,1.0
opentelemetry_demo,failure_associated_coordinates,0.1,selection_and_admission,18,21600,18229,8635,18237,9602,11998,0,0,1597,198348,19827,12157,5613,4950,1783,0.3997685185185185,0.8443055555555555,0.44453703703703706,0.5554629629629629,1.0
opentelemetry_demo,failure_associated_coordinates,0.1,entry_result,18,21600,18229,7450,18229,10779,10821,0,0,1265,198348,19827,12157,2494,2494,606,0.3449074074074074,0.8439351851851852,0.4990277777777778,0.5009722222222223,1.0
opentelemetry_demo,failure_associated_coordinates,0.1,required_completions,18,21600,18229,11168,18229,7061,14539,0,0,2937,198348,19827,12157,11720,8425,4324,0.5170370370370371,0.8439351851851852,0.32689814814814816,0.6731018518518519,1.0
opentelemetry_demo,failure_associated_coordinates,0.1,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,19827,12157,19827,12157,8356,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0.25,none,18,21600,18229,1988,18310,16322,5278,0,0,159,198348,49581,18462,0,0,0,0.09203703703703704,0.8476851851851852,0.7556481481481482,0.24435185185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0.25,selection_and_admission,18,21600,18229,3796,18310,14514,7086,0,0,330,198348,49581,18462,13884,10121,1808,0.17574074074074075,0.8476851851851852,0.6719444444444445,0.32805555555555554,1.0
opentelemetry_demo,failure_associated_coordinates,0.25,entry_result,18,21600,18229,2479,18229,15750,5850,0,0,180,198348,49581,18462,6251,6251,572,0.11476851851851852,0.8439351851851852,0.7291666666666666,0.2708333333333333,1.0
opentelemetry_demo,failure_associated_coordinates,0.25,required_completions,18,21600,18229,6724,18229,11505,10095,0,0,1617,198348,49581,18462,29446,15048,4817,0.3112962962962963,0.8439351851851852,0.5326388888888889,0.4673611111111111,1.0
opentelemetry_demo,failure_associated_coordinates,0.25,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,49581,18462,49581,18462,13293,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0.5,none,18,21600,18229,104,18360,18256,3344,0,0,0,198348,99171,21129,0,0,0,0.004814814814814815,0.85,0.8451851851851852,0.15481481481481482,1.0
opentelemetry_demo,failure_associated_coordinates,0.5,selection_and_admission,18,21600,18229,600,18360,17760,3840,0,0,3,198348,99171,21129,27671,15674,496,0.027777777777777776,0.85,0.8222222222222222,0.17777777777777778,1.0
opentelemetry_demo,failure_associated_coordinates,0.5,entry_result,18,21600,18229,192,18229,18037,3563,0,0,0,198348,99171,21129,11590,11590,219,0.008888888888888889,0.8439351851851852,0.8350462962962963,0.1649537037037037,1.0
opentelemetry_demo,failure_associated_coordinates,0.5,required_completions,18,21600,18229,1656,18229,16573,5027,0,0,298,198348,99171,21129,59910,19787,1683,0.07666666666666666,0.8439351851851852,0.7672685185185185,0.23273148148148148,1.0
opentelemetry_demo,failure_associated_coordinates,0.5,all_native,18,21600,18229,15200,18229,3029,18571,0,0,4278,198348,99171,21129,99171,21129,15227,0.7037037037037037,0.8439351851851852,0.14023148148148148,0.8597685185185185,1.0
opentelemetry_demo,failure_associated_coordinates,0.75,none,18,21600,18229,0,18360,18360,3240,0,0,0,198348,148754,21520,0,0,0,0.0,0.85,0.85,0.15,1.0
opentelemetry_demo,failure_associated_coordinates,0.75,selection_and_admission,18,21600,18229,25,18360,18335,3265,0,0,0,198348,148754,21520,41575,17667,25,0.0011574074074074073,0.85,0.8488425925925925,0.1511574074074074,1.0
opentelemetry_demo,failure_associated_coordinates,0.75,entry_result,18,21600,18229,2,18229,18227,3373,0,0,0,198348,148754,21520,16491,16491,133,9.259259259259259e-05,0.8439351851851852,0.8438425925925926,0.1561574074074074,1.0
opentelemetry_demo,failure_associated_coordinates,0.75,required_completions,18,21600,18229,131,18229,18098,3502,0,0,9,198348,148754,21520,90688,21187,262,0.0060648148148148145,0.8439351851851852,0.8378703703703704,0.16212962962962962,1.0
