application,repetition,multiplier,route,target,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,1,direct_r,R,compose_post,23,5649
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,23,3841
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,23,4755
deathstarbench_social_network,0,1,direct_r,R,compose_post,24,5591
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,24,3908
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,24,4662
deathstarbench_social_network,0,1,direct_r,R,compose_post,25,5459
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,25,4041
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,25,5829
deathstarbench_social_network,0,1,direct_r,R,compose_post,26,5689
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,26,4181
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,26,5071
deathstarbench_social_network,0,1,direct_r,R,compose_post,27,5604
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,27,4128
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,27,5014
deathstarbench_social_network,0,1,direct_r,R,compose_post,28,5663
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,28,4052
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,28,4986
deathstarbench_social_network,0,1,direct_r,R,compose_post,29,5606
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,29,3970
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,29,4968
deathstarbench_social_network,0,1,direct_r,R,compose_post,30,5797
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,30,3993
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,30,4857
deathstarbench_social_network,0,2,full_r,R,compose_post,0,34839
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,0,8131
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,0,11637
deathstarbench_social_network,0,2,full_r,R,compose_post,1,17677
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,1,5452
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,1,10430
deathstarbench_social_network,0,2,full_r,R,compose_post,2,16660
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,2,5158
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,2,9269
deathstarbench_social_network,0,2,full_r,R,compose_post,3,16636
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,3,5158
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,3,9229
deathstarbench_social_network,0,2,full_r,R,compose_post,4,16307
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,4,4918
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,4,9242
deathstarbench_social_network,0,2,full_r,R,compose_post,5,16201
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,5,4994
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,5,9138
deathstarbench_social_network,0,2,full_r,R,compose_post,6,16153
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,6,4889
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,6,9214
deathstarbench_social_network,0,2,full_r,R,compose_post,7,16236
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,7,4844
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,7,9102
deathstarbench_social_network,0,2,full_r,R,compose_post,8,16198
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,8,4959
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,8,9446
deathstarbench_social_network,0,2,full_r,R,compose_post,9,16163
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,9,4807
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,9,9039
deathstarbench_social_network,0,2,full_r,R,compose_post,10,16219
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,10,4985
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,10,9169
deathstarbench_social_network,0,2,full_r,R,compose_post,11,16375
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,11,4826
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,11,9256
deathstarbench_social_network,0,2,full_r,R,compose_post,12,16023
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,12,4844
deathstarbench_social_network,0,2,full_r,R,read_user_timeline,12,9268
deathstarbench_social_network,0,2,full_r,R,compose_post,13,16114
deathstarbench_social_network,0,2,full_r,R,read_home_timeline,13,4870
