application,repetition,multiplier,route,target,calls,first_query_seconds,frequency_identification_seconds,interpretation_seconds,operation,projection_seconds,representation_seconds,total_identification_seconds,categories,coordinates,samples
deathstarbench_social_network,1,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",3.325800003040058e-05,0.011619073000019853,0.8224552180124647,read_user_timeline,5.5364999980156426e-05,0.12815784798760887,0.9622321390000934,2,2,4800
deathstarbench_social_network,1,1,full_r,R,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 13200, ""native_admissions"": 1200, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",7.463700001153484e-05,0.004873145999908957,0.5174627590043883,compose_post,0.0,0.12042810199568521,0.6427640069999825,5,17,1200
deathstarbench_social_network,1,1,full_r,R,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 2400, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",3.7732999999207095e-05,0.0023183799999060284,0.11682977400471373,read_home_timeline,0.0,0.023647724995385033,0.1427958790000048,1,4,1200
deathstarbench_social_network,1,1,full_r,R,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 2400, ""native_admissions"": 1200, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",3.865300004690653e-05,0.003085761999955139,0.13813880000066092,read_user_timeline,0.0,0.03126972799930172,0.17249428999991778,4,8,1200
deathstarbench_social_network,1,1,projected_r,R,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 13200, ""native_admissions"": 1200, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",4.091899995728454e-05,0.0047642970000651985,0.5230242330100054,compose_post,6.515699999454228e-05,0.11864086398998097,0.6464293940000516,3,2,1200
deathstarbench_social_network,1,1,projected_r,R,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 2400, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",2.7553999984775146e-05,0.002291194000008545,0.11663333498938755,read_home_timeline,3.287100003035448e-05,0.02369248701052129,0.14261701599991738,1,2,1200
deathstarbench_social_network,1,1,projected_r,R,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 2400, ""native_admissions"": 1200, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",2.367599995523051e-05,0.0032065130000091813,0.1387147560047879,read_user_timeline,3.941299996768066e-05,0.03111893799518839,0.17304020699998546,2,2,1200
deathstarbench_social_network,1,1,direct_r,R,"{""logical_completion"": 13200, ""reduced_category_identification"": 1, ""request_evidence"": 1200}",4.192100004729582e-05,0.0035888760000943876,0.5315103370056704,compose_post,0.0,0.06129373699423013,0.5963929499999949,3,2,1200
deathstarbench_social_network,1,1,direct_r,R,"{""logical_completion"": 2400, ""reduced_category_identification"": 1, ""request_evidence"": 1200}",2.97969999110137e-05,0.00205461899997772,0.10684526400075356,read_home_timeline,0.0,0.016449262999344683,0.12534914600007596,1,2,1200
deathstarbench_social_network,1,1,direct_r,R,"{""logical_completion"": 2400, ""reduced_category_identification"": 1, ""request_evidence"": 1200}",2.6878000085162057e-05,0.0019484040000179448,0.1114906669957918,read_user_timeline,0.0,0.016320691004239052,0.1297597620000488,2,2,1200
deathstarbench_social_network,1,1,full_e,E,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 13200, ""native_admissions"": 1200, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",0.001275168000006488,0.005634352000015497,0.5187567999950033,compose_post,0.0,0.11890598700495048,0.6432971389999693,5,17,1200
deathstarbench_social_network,1,1,full_e,E,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 2400, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",7.16970000667061e-05,0.0022395489999098572,0.11730746800105862,read_home_timeline,0.0,0.023506893998956002,0.14305391099992448,1,4,1200
deathstarbench_social_network,1,1,full_e,E,"{""align_probe"": 1200, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 2400, ""native_admissions"": 1200, ""request_evidence"": 1200, ""timestamp_ns"": 1800}",0.00022582500002954475,0.0030939040000248497,0.1378403320028383,read_user_timeline,0.0,0.03104256199719657,0.17197679800005972,4,8,1200
deathstarbench_social_network,2,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",0.0014004199999817502,0.018994270999996843,2.353675802996122,compose_post,0.0,0.5619979720038373,2.934668045999956,5,17,4800
deathstarbench_social_network,2,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",8.690899994689971e-05,0.008805618999986109,0.45765442100912423,read_home_timeline,0.0,0.0979356449909119,0.5643956850000222,1,4,4800
deathstarbench_social_network,2,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",0.00024337500008186908,0.011761417999991863,0.8272225369968282,read_user_timeline,0.0,0.12708895100320206,0.9660729060000222,4,8,4800
deathstarbench_social_network,2,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",8.698399994955253e-05,0.01864193599999453,2.361541205004073,compose_post,0.0,0.55086419199597,2.9310473330000377,5,17,4800
deathstarbench_social_network,2,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.6077999968474614e-05,0.009097745999952167,0.46388073399475616,read_home_timeline,0.0,0.09875205900527817,0.5717305389999865,1,4,4800
deathstarbench_social_network,2,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.400000000259752e-05,0.012032983000040076,0.8255125359897875,read_user_timeline,0.0,0.12752061401022274,0.9650661330000503,4,8,4800
deathstarbench_social_network,2,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.69130000055884e-05,0.01877580500001841,2.364612679982997,compose_post,0.00030610100009198504,0.5501706880170332,2.9335591730000488,3,2,4800
deathstarbench_social_network,2,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",2.8879000069537142e-05,0.008720743000026232,0.46457213800647423,read_home_timeline,4.515900002388662e-05,0.09988130199349143,0.5731741829999919,1,2,4800
