application,operation,method,attempts,campaigns,median_absolute_error_pp,p90_absolute_error_pp,planned_campaigns,retained_conditions,standardized_mean
spring_petclinic_microservices,list_owners,G_without_completion,0,0,,,80,0,
spring_petclinic_microservices,list_vets,G_without_completion,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,G_without_completion,0,0,,,80,0,
spring_petclinic_microservices,create_visit,G0,0,0,,,80,0,
spring_petclinic_microservices,list_owners,G0,0,0,,,80,0,
spring_petclinic_microservices,list_vets,G0,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,G0,0,0,,,80,0,
spring_petclinic_microservices,create_visit,B0,0,0,,,80,0,
spring_petclinic_microservices,list_owners,B0,0,0,,,80,0,
spring_petclinic_microservices,list_vets,B0,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,B0,0,0,,,80,0,
spring_petclinic_microservices,create_visit,PMX,0,0,,,80,0,
