profile,case_id,functional,lower_exact,upper_exact,status,model_sha256
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,reachability,1,1,singleton_given_empirical_observation_law,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,reachability_minus_execution,3/50,3/50,singleton_given_empirical_observation_law,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,selected,1199/1200,1,ambiguous,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,selected_minus_execution,71/1200,3/50,ambiguous,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,without_completion,47/50,1129/1200,ambiguous,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,without_completion_minus_execution,0,1/1200,ambiguous,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,without_deadline,1199/1200,1199/1200,singleton_given_empirical_observation_law,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,without_deadline_minus_execution,71/1200,71/1200,singleton_given_empirical_observation_law,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,without_selection,47/50,47/50,singleton_given_empirical_observation_law,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,execution,1,1,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,reachability,1,1,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,reachability_minus_execution,0,0,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,selected,1,1,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,selected_minus_execution,0,0,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,without_completion,1,1,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,without_deadline,1,1,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,without_selection,1,1,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_home_timeline,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,1f648bd04794889c37ea39a472d0bad2d6c43db031346f3e3d0269c85b29056f
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,execution,183/200,183/200,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,reachability,1,1,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,reachability_minus_execution,17/200,17/200,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,selected,1,1,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,selected_minus_execution,17/200,17/200,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,without_completion,183/200,183/200,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,without_deadline,1,1,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,without_deadline_minus_execution,17/200,17/200,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,without_selection,183/200,183/200,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--read_user_timeline,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,96fb17ff73c798e4c685c836bd4d9ee9f11633fbe757787dddbe361376550352
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,execution,1151/1200,1151/1200,singleton_given_empirical_observation_law,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,reachability,1,1,singleton_given_empirical_observation_law,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,reachability_minus_execution,49/1200,49/1200,singleton_given_empirical_observation_law,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,selected,1199/1200,1,ambiguous,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,selected_minus_execution,1/25,49/1200,ambiguous,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,without_completion,1151/1200,24/25,ambiguous,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,without_completion_minus_execution,0,1/1200,ambiguous,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,without_deadline,1199/1200,1199/1200,singleton_given_empirical_observation_law,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,without_deadline_minus_execution,1/25,1/25,singleton_given_empirical_observation_law,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,without_selection,1151/1200,1151/1200,singleton_given_empirical_observation_law,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--compose_post,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,94c1fc495c26d9c4787b191106ade894bf9893bd937f2b822de8c0d4531d1a20
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,execution,1,1,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,reachability,1,1,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,reachability_minus_execution,0,0,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,selected,1,1,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,selected_minus_execution,0,0,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,without_completion,1,1,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,without_deadline,1,1,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,without_selection,1,1,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_home_timeline,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,9c37080f0bf3621bb0d1cf392b3a8b708bf0a753d6f35dea506a10d1edc7ed89
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_user_timeline,execution,183/200,183/200,singleton_given_empirical_observation_law,eb63f86dbe93e8a126db285931074a6e0ca667f6836a98ee05021ac906e81312
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_user_timeline,reachability,1,1,singleton_given_empirical_observation_law,eb63f86dbe93e8a126db285931074a6e0ca667f6836a98ee05021ac906e81312
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_user_timeline,reachability_minus_execution,17/200,17/200,singleton_given_empirical_observation_law,eb63f86dbe93e8a126db285931074a6e0ca667f6836a98ee05021ac906e81312
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_user_timeline,selected,1,1,singleton_given_empirical_observation_law,eb63f86dbe93e8a126db285931074a6e0ca667f6836a98ee05021ac906e81312
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_user_timeline,selected_minus_execution,17/200,17/200,singleton_given_empirical_observation_law,eb63f86dbe93e8a126db285931074a6e0ca667f6836a98ee05021ac906e81312
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_user_timeline,without_completion,183/200,183/200,singleton_given_empirical_observation_law,eb63f86dbe93e8a126db285931074a6e0ca667f6836a98ee05021ac906e81312
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r3--read_user_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,eb63f86dbe93e8a126db285931074a6e0ca667f6836a98ee05021ac906e81312
