profile,case_id,method,execution_status,cold_ratio_specialized_over_bdd_median,cold_ratio_min,cold_ratio_max,warm_ratio_specialized_over_bdd_median,warm_ratio_min,warm_ratio_max,specialized_cold_median_ms,bdd_cold_median_ms,specialized_warm_median_ms,bdd_warm_median_ms
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--list_owners,controls_first,singleton_given_empirical_observation_law,0.047245521848857476,0.046930459126131654,0.060290714710059166,1.30226740427961,1.2295484090627709,1.3643078103642599,0.220753,4.672464,0.158897,0.125103
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--list_owners,structural,singleton_given_empirical_observation_law,0.047090919330245035,0.045820416718207545,0.06087414451192492,1.3055663092693273,1.2416835327305833,1.3443843191001679,0.220753,4.687804,0.158897,0.126957
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--list_owners,sift_once,singleton_given_empirical_observation_law,0.039125611622922496,0.03831508084760515,0.04954141067286191,1.35313253114648,1.3004115916273378,1.4544563652012374,0.220753,5.713651,0.158897,0.117429
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--list_vets,controls_first,singleton_given_empirical_observation_law,0.044630671191193794,0.04382801802847561,0.05293272937381712,1.2394085744478311,1.1631738039179118,1.2920458838479238,0.206766,4.632823,0.14969,0.116468
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--list_vets,structural,singleton_given_empirical_observation_law,0.043859489101415655,0.04008405611065862,0.044272840594742666,1.2257228964730797,1.1359277698624874,1.250825165241951,0.206766,4.714282,0.14969,0.12277
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--list_vets,sift_once,singleton_given_empirical_observation_law,0.03630450016302839,0.031936755625274336,0.036976526108340145,1.2349977020550194,1.2330335809548634,1.3188197668784085,0.206766,5.697777,0.14969,0.115095
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--owner_details_with_visits,controls_first,singleton_given_empirical_observation_law,0.3721985083081708,0.36110557413160166,0.3790695951889818,1.18542967065147,1.1793996112157066,1.1927289028206087,2.603248,6.898997,2.505112,2.124057
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--owner_details_with_visits,structural,singleton_given_empirical_observation_law,0.3732678501604985,0.36387456904559645,0.3812723433655449,1.1676310772602942,1.1374208163585444,1.1761525427468906,2.603248,6.974209,2.505112,2.16743
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--owner_details_with_visits,sift_once,singleton_given_empirical_observation_law,0.32273661695709915,0.3195567528103056,0.3255181409995744,1.163082397337612,1.1114808112121926,1.178691110209307,2.603248,8.029109,2.505112,2.153856
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--create_visit,controls_first,singleton_given_empirical_observation_law,0.3670897060450663,0.3668129052581685,0.37696568058210256,1.1913394342597874,1.1677028907664424,1.2340007258498908,2.496529,6.806001,2.442518,2.026796
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--create_visit,structural,singleton_given_empirical_observation_law,0.36840273115102934,0.3599491311689762,0.3725430108685502,1.190464075300136,1.172844015663813,1.2166436076932807,2.496529,6.922117,2.442518,2.051736
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--create_visit,sift_once,singleton_given_empirical_observation_law,0.3178871958587668,0.31525364240111575,0.3200374161342824,1.1835246734418525,1.1404382460710976,1.19759805522296,2.496529,7.903509,2.442518,2.088602
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--list_owners,controls_first,singleton_given_empirical_observation_law,0.04200933842085588,0.04145324956558665,0.04894398083183475,1.2167583866726501,1.2154835424742132,1.2257666049042684,0.198341,4.683903,0.148007,0.121768
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--list_owners,structural,singleton_given_empirical_observation_law,0.04269331142928238,0.042169790728914074,0.048601229741792436,1.1786342823014135,1.152787698490569,1.2889394849212703,0.198341,4.645716,0.148007,0.125575
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r4--list_owners,sift_once,singleton_given_empirical_observation_law,0.03487753359367966,0.03389436698150328,0.040072665267713824,1.2253655224943287,1.1438006230529596,1.3023316564282765,0.198341,5.713321,0.148007,0.120786
