profile,case_id,method,round,status,execution_status,cold_ms,cold_cpu_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_median_ms,warm_cpu_median_ms,build_ms,reorder_ms,evaluated_states,cudd_execution_nodes,cudd_manager_bytes,witnesses_verified_first_query,category_extrema_sha256,exact_estimates_sha256
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r3--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.186699,0.189584,0.147747,0.143278,0.140052,0.143278,0.145021,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r3--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,2.14962,2.154124,2.059982,2.020268,2.02655,2.02655,2.02875,0.0,0.0,39,,,32,4935fb7eb9fc2fbe6d44db07440911b4d5740ba052dc279bd63b327f6f47ace4,c69e3c265fb915fa5fdc3487a1fc66d474478d66a6c9d6752fdada033b0626b2
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r4--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,1.76982,1.774094,1.691163,1.67359,1.665585,1.67359,1.67571,0.0,0.0,31,,,24,7f56e6a80257bb7edc498b234db3404e0f56c43b573dd67353b80def33e3e100,4dbab580ddf066017c83c6f150ac3ac50086d1cfcd104ad40bcad309a67f627f
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r4--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.219531,0.223567,0.157565,0.145712,0.155581,0.155581,0.157053,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r4--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.1872,0.190436,0.148607,0.143769,0.156673,0.148607,0.150371,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r4--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.836594,1.839577,1.788354,1.769869,1.75382,1.769869,1.772101,0.0,0.0,31,,,24,8cc08f53fc4aec9aa11df3f4f90ca529339fb7e2277af6d21de6ecc9b453f810,242c65d123e6630cd5d32f3b7d7ec92c66cbbd9445c459bc51a9a27060e4dcf1
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r5--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,1.563343,1.568019,1.511878,1.486189,1.463608,1.486189,1.488771,0.0,0.0,24,,,16,7f5fc5e61e7cd0235647a655613407bcff53fc51e0378f52267a445c15efbcb2,9c8262ff74bdebc65f1d846994aaeb1244ee66409c10f29aa040ec257befc64e
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r5--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.195345,0.198511,0.157575,0.147816,0.145151,0.147816,0.149539,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r5--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.18209,0.185526,0.150822,0.142647,0.140503,0.142647,0.144249,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r5--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.756635,1.759967,1.645357,1.626802,1.606314,1.626802,1.628994,0.0,0.0,28,,,16,bf579dbb2496ea1aa7c82822f4acf2b213c9c257d6d1dd38ff08eab46abe47e5,dae0a0260ef02779e92ba908ca2b325bafb89be7933b3ac8fde211bdaad0e57b
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r6--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,1.77541,1.779555,1.689199,1.701212,1.679692,1.689199,1.691721,0.0,0.0,31,,,24,7f56e6a80257bb7edc498b234db3404e0f56c43b573dd67353b80def33e3e100,0666b5dd8227181e019a8bd0adabc6354ab5642d141d180afc7de55ddf134493
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r6--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.223698,0.228748,0.183683,0.158436,0.153507,0.158436,0.160039,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r6--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.189804,0.19323,0.149309,0.145562,0.140874,0.145562,0.147335,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r6--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.974632,1.981652,1.902868,1.884684,2.02684,1.902868,1.905159,0.0,0.0,33,,,24,1db6a53f0be5f1776393ae98b0b1a9baa96bc6a497a233cd6cd831d23fc55a98,c6a4c8c412f06d119c3827c0a008ba2907341cf6a6906773fd25eae7e86e24f0
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r7--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,1.738461,1.743587,1.664283,1.637593,1.624438,1.637593,1.639713,0.0,0.0,36,,,28,913036feb674524c70b52bf6897a3fd96318a12c2ee719b1caddbf3612f7a8ea,007e76428b31352eb7da4c2d2a8f781f1d794cf20b685328775739f61178d1de
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r7--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.212878,0.217736,0.158597,0.15533,0.145282,0.15533,0.158927,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r7--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.186479,0.189624,0.164628,0.141925,0.1392,0.141925,0.143518,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r7--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.766263,1.770037,1.664182,1.6629,1.699378,1.664182,1.666433,0.0,0.0,30,,,24,ff9bc356f9fbac26a7f6ba3c2c1e0e2f3c5662f9cccea434fc2191856fcb5590,7f6cf59de4ee785b68bfdac5808b98f6682d3015773a43030a4c96d19550c7c6
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r8--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,1.968892,1.973817,1.870398,1.861972,1.834681,1.861972,1.864202,0.0,0.0,34,,,24,73991dcdf54d48a98ddf263d887abea9132a27b7aae5c6e7d256d4a8dac7f978,43d9ceda2c24410ff5a972a9216cd1073cca7408fdd925323dd3789268587f55
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r8--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.203651,0.207829,0.154119,0.148928,0.147185,0.148928,0.150591,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r8--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.209422,0.213108,0.151924,0.142035,0.13911,0.142035,0.143538,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r8--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.974903,1.978336,1.872732,1.873374,1.866371,1.872732,1.874822,0.0,0.0,32,,,24,95399442395cf3a9c701442ede684103158aae7ac0ae3802ab6f20dd09e39e25,da04223814bae3f0bf0a2386b4298be5bcafd8cf9ecf9f1ba2335d5f38fa64ed
