campaign_id,job_role,attempt_id,input_bytes,native_bytes,ordinary_role_bytes,pmx_role_bytes,input_loading_seconds,combined_process_seconds,acquisition_process_seconds,shared_native_extraction_seconds,manual_integration_seconds,manual_reason,update_seconds,update_reason
v3-main-771601/deathstarbench_social_network/split/N/2,graph,1,36756492,,,,0.4279896359999995,1.455981645999998,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/2,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/3,acquisition,1,,59164347,36772667,36530645,,,2059.546868716,2.072428166000009,,,,
v3-main-771601/deathstarbench_social_network/split/N/3,graph,1,36772151,,,,0.41915044800000345,1.3989997720000034,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/3,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/4,acquisition,1,,59171276,36789227,36547465,,,2057.882106908,1.5552438370000345,,,,
v3-main-771601/deathstarbench_social_network/split/N/4,graph,1,36788711,,,,0.43819129799999956,1.482718913999996,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/4,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/5,acquisition,1,,59170063,36769422,36528062,,,2059.4809608269998,2.022617660999913,,,,
v3-main-771601/deathstarbench_social_network/split/N/5,graph,1,36768906,,,,0.4389889049999951,1.4781889399999955,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/5,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/6,acquisition,1,,59175931,36792259,36550991,,,2059.866040926,2.034267681000074,,,,
v3-main-771601/deathstarbench_social_network/split/N/6,graph,1,36791743,,,,0.4269069969999961,1.424777800000001,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/6,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/7,acquisition,1,,59186451,36776197,36534672,,,2060.168515169,2.1616885950002143,,,,
v3-main-771601/deathstarbench_social_network/split/N/7,graph,1,36775681,,,,0.44219340699999066,1.4864118419999954,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/7,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/8,acquisition,1,,59156818,36771077,36529108,,,2059.4940342420005,2.0543641600002047,,,,
v3-main-771601/deathstarbench_social_network/split/N/8,graph,1,36770561,,,,0.3384578530000013,1.079215185999999,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/8,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/9,acquisition,1,,59144095,36734267,36493247,,,2059.6713014899997,2.0709230729999035,,,,
v3-main-771601/deathstarbench_social_network/split/N/9,graph,1,36733751,,,,0.3352627849999976,1.0763149189999979,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/9,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/0,acquisition,1,,58159656,36726673,36483760,,,2057.238877276,1.5006591110000045,,,,
v3-main-771601/deathstarbench_social_network/split/NC/0,graph,1,36726157,,,,0.4715124979999956,1.4914201179999935,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/NC/0,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/NC/1,acquisition,1,,57527247,35990950,35748436,,,2059.551693848,2.0335610399997677,,,,
