campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/N/7,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",55144448.0,start-resource-usage.txt,0.04,0.14,8.3,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219590656.0,build-resource-usage.txt,0.17,2.98,2.99,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109555712.0,replay-resource-usage.txt,0.09,1.41,0.92,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",628477952.0,acquisition-resource-usage.txt,82.37,207.79,2071.79,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51945472.0,logs/compose-down.log.resource-usage.txt,0.02,0.09,11.03,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52228096.0,logs/services.log.resource-usage.txt,0.03,0.11,0.12,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52027392.0,pull-resource-usage.txt,0.04,0.15,20.02,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52957184.0,start-resource-usage.txt,0.04,0.13,8.81,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",222076928.0,build-resource-usage.txt,0.17,3.06,3.03,,,
v3-main-771601/deathstarbench_social_network/colocated/N/8,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109592576.0,replay-resource-usage.txt,0.08,1.42,0.91,,,
v3-main-771601/deathstarbench_social_network/colocated/N/9,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",628379648.0,acquisition-resource-usage.txt,94.68,212.09,2072.46,,,
