profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,completion_projected,0,metadata,qualified,8.077531,7.734044,8.080038,0.343487,0.062899,0.0,0.002094,7.669162,7.667068,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,completion_projected,0,structure,qualified,12.998648,12.673646,13.001191,0.325002,0.061356,4.511496,0.001903,8.098621,8.096718,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,completion_projected,0,restore,qualified,13.134494,12.773554,13.136755,0.36094,0.060163,4.509462,0.001794,8.201665,8.199871,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,original,0,initial,qualified,13.719506,13.718654,13.724732,0.000852,0.092875,8.485179,0.002925,5.138066,5.135141,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,original,0,repeat,qualified,2.393307,2.387406,2.395822,0.005901,0.071124,0.0,0.002665,2.314779,2.312114,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,original,0,counts,qualified,2.391293,2.385061,2.393747,0.006232,0.070051,0.0,0.002174,2.313457,2.311283,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,original,0,masks,qualified,7.578221,7.577499,7.569796,0.000722,0.064091,0.0,2.746502,7.512057,4.765555,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,original,0,metadata,qualified,2.346689,2.345807,2.349234,0.000882,0.068068,0.0,0.002395,2.276287,2.273892,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,original,0,structure,qualified,13.360591,13.35987,13.363187,0.000721,0.068258,8.624461,0.002084,4.665086,4.663002,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,original,0,restore,qualified,13.27533,13.274429,13.277778,0.000901,0.067658,8.620995,0.002114,4.583782,4.581668,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,completion_projected,0,initial,qualified,9.70752,9.38348,9.712464,0.32404,0.079179,4.823754,0.002635,4.478333,4.475698,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,completion_projected,0,repeat,qualified,2.717277,2.391864,2.719755,0.325413,0.061406,0.0,0.002244,2.328876,2.326632,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,completion_projected,0,counts,qualified,2.648798,2.321572,2.651238,0.327226,0.06885,0.0,0.001924,2.251169,2.249245,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,completion_projected,0,masks,qualified,5.632076,5.290873,5.634795,0.341203,0.061756,0.0,1.081156,5.227464,4.146308,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,completion_projected,0,metadata,qualified,2.687591,2.348583,2.69014,0.339008,0.0741,0.0,0.001993,2.27272,2.270727,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,completion_projected,0,structure,qualified,9.109024,8.779944,9.111333,0.32908,0.059241,4.607907,0.001923,4.11063,4.108707,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_joint,completion_projected,0,restore,qualified,9.075471,8.68695,9.07792,0.388521,0.082094,4.471441,0.001884,4.13124,4.129356,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,storm_sparse,original,0,initial,qualified,7.521474,7.520292,7.527287,0.001182,0.089579,4.230707,0.002685,3.197761,3.195076,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,storm_sparse,original,0,repeat,qualified,2.983649,2.977377,2.986203,0.006272,0.06896,0.0,0.003126,2.906815,2.903689,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,storm_sparse,original,0,counts,qualified,3.121889,3.116488,3.1242,0.005401,0.06374,0.0,0.160322,3.051136,2.890814,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,storm_sparse,original,0,masks,qualified,7.392141,7.391209,7.394429,0.000932,0.064131,0.0,4.095543,7.325505,3.229962,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,storm_sparse,original,0,metadata,qualified,3.230894,3.229842,3.233184,0.001052,0.06405,0.0,0.002204,3.164219,3.162015,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,storm_sparse,original,0,structure,qualified,6.894894,6.893972,6.901579,0.000922,0.062027,3.645184,0.001994,3.183705,3.181711,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,storm_sparse,original,0,restore,qualified,5.738166,5.737164,5.740443,0.001002,0.064,2.785125,0.001883,2.886225,2.884342,True,
