profile,placement,failure_law,repetition,method,test_requests,test_success_rate,mean_conditional_probability,brier_score,uses_heldout_health
opentelemetry_demo,split,N,26,source_500ms_failover,970,0.8092783505154639,0.9692376225022273,0.17626218344261702,True
opentelemetry_demo,split,N,26,matched_stable_endpoint,970,0.8092783505154639,0.8040330920372285,0.15437441463893734,False
opentelemetry_demo,split,N,26,all_calibration_endpoint,970,0.8092783505154639,0.7647793505412157,0.15632706290114196,False
opentelemetry_demo,split,N,27,learner_state_only,1012,0.8646245059288538,0.8483009249815224,0.03319153922606774,True
opentelemetry_demo,split,N,27,temporal_logit_lower,1012,0.8646245059288538,0.8362939136293159,0.026755532640238704,True
opentelemetry_demo,split,N,27,temporal_logit_midpoint,1012,0.8646245059288538,0.8373881596420221,0.026564819616524127,True
opentelemetry_demo,split,N,27,temporal_logit_upper,1012,0.8646245059288538,0.838414959623674,0.026475834005349422,True
opentelemetry_demo,split,N,27,source_500ms_failover,1012,0.8646245059288538,0.9614197530864198,0.10939127512977934,True
opentelemetry_demo,split,N,27,matched_stable_endpoint,1012,0.8646245059288538,0.8044147843942505,0.12067418024341377,False
opentelemetry_demo,split,N,27,all_calibration_endpoint,1012,0.8646245059288538,0.7739383846794338,0.1252729422634038,False
opentelemetry_demo,split,N,28,learner_state_only,994,0.8370221327967807,0.8155704668699333,0.05084688630531551,True
opentelemetry_demo,split,N,28,temporal_logit_lower,994,0.8370221327967807,0.8235247470883382,0.04122482863146996,True
opentelemetry_demo,split,N,28,temporal_logit_midpoint,994,0.8370221327967807,0.8236559561283796,0.041297100138903024,True
opentelemetry_demo,split,N,28,temporal_logit_upper,994,0.8370221327967807,0.8237583220429219,0.04135861611298667,True
opentelemetry_demo,split,N,28,source_500ms_failover,994,0.8370221327967807,0.9587711453908637,0.144868870286189,True
opentelemetry_demo,split,N,28,matched_stable_endpoint,994,0.8370221327967807,0.8662451361867705,0.13727006593224045,False
opentelemetry_demo,split,N,28,all_calibration_endpoint,994,0.8370221327967807,0.8180682764363031,0.13677533067604275,False
opentelemetry_demo,split,N,29,learner_state_only,1009,0.8295341922695738,0.8251782179747876,0.043209675364564736,True
opentelemetry_demo,split,N,29,temporal_logit_lower,1009,0.8295341922695738,0.8122853602154589,0.02885165713751527,True
opentelemetry_demo,split,N,29,temporal_logit_midpoint,1009,0.8295341922695738,0.8123589002078784,0.02884524669154535,True
opentelemetry_demo,split,N,29,temporal_logit_upper,1009,0.8295341922695738,0.8127285785035339,0.02877808046132046,True
opentelemetry_demo,split,N,29,source_500ms_failover,1009,0.8295341922695738,0.9889023480037685,0.16547490811623902,True
opentelemetry_demo,split,N,29,matched_stable_endpoint,1009,0.8295341922695738,0.8338414634146342,0.14142576870995663,False
opentelemetry_demo,split,N,29,all_calibration_endpoint,1009,0.8295341922695738,0.7922564529558701,0.14279684597358,False
opentelemetry_demo,split,ND,0,learner_state_only,921,0.7035830618892508,0.7059227412494262,0.06334564679841537,True
opentelemetry_demo,split,ND,0,temporal_logit_lower,921,0.7035830618892508,0.6994801324363079,0.05909617940060099,True
opentelemetry_demo,split,ND,0,temporal_logit_midpoint,921,0.7035830618892508,0.6994545895514341,0.059127310332662046,True
opentelemetry_demo,split,ND,0,temporal_logit_upper,921,0.7035830618892508,0.6994413323237152,0.059156730954682185,True
opentelemetry_demo,split,ND,0,source_500ms_failover,921,0.7035830618892508,0.9420316081553867,0.2542686350644689,True
opentelemetry_demo,split,ND,0,matched_stable_endpoint,921,0.7035830618892508,0.7011930585683297,0.2085596490276715,False
opentelemetry_demo,split,ND,0,all_calibration_endpoint,921,0.7035830618892508,0.6623646960865945,0.21025289059123906,False
opentelemetry_demo,split,ND,1,learner_state_only,908,0.6651982378854625,0.6756709686944864,0.07027955229297207,True
opentelemetry_demo,split,ND,1,temporal_logit_lower,908,0.6651982378854625,0.6769786896951383,0.05810860335639999,True
opentelemetry_demo,split,ND,1,temporal_logit_midpoint,908,0.6651982378854625,0.6770059978883279,0.05818156751633385,True
opentelemetry_demo,split,ND,1,temporal_logit_upper,908,0.6651982378854625,0.6770245765817887,0.05824783085753427,True
opentelemetry_demo,split,ND,1,source_500ms_failover,908,0.6651982378854625,0.9697476477946375,0.3111537304603964,True
opentelemetry_demo,split,ND,1,matched_stable_endpoint,908,0.6651982378854625,0.7719017094017094,0.23409517303315663,False
opentelemetry_demo,split,ND,1,all_calibration_endpoint,908,0.6651982378854625,0.7289758534554538,0.22677712644733175,False
opentelemetry_demo,split,ND,2,learner_state_only,919,0.6822633297062024,0.7024663192475359,0.06432260648488491,True
opentelemetry_demo,split,ND,2,temporal_logit_lower,919,0.6822633297062024,0.700733567283574,0.05569606396836342,True
opentelemetry_demo,split,ND,2,temporal_logit_midpoint,919,0.6822633297062024,0.7005839455986026,0.05573388421348422,True
opentelemetry_demo,split,ND,2,temporal_logit_upper,919,0.6822633297062024,0.7004595867018946,0.05577494196333515,True
opentelemetry_demo,split,ND,2,source_500ms_failover,919,0.6822633297062024,0.9311046628783298,0.26665669081271115,True
