profile,placement,failure_law,repetition,method,test_requests,test_success_rate,prediction,signed_error,absolute_error,brier_score
opentelemetry_demo,colocated,ND,6,temporal_logit_upper,971,0.7301750772399588,0.7160102255382718,-0.01416485170168702,0.01416485170168702,0.19722007684130982
opentelemetry_demo,colocated,ND,6,source_500ms_failover,971,0.7301750772399588,0.8964770295950777,0.1663019523551189,0.1663019523551189,0.22467577317470322
opentelemetry_demo,colocated,ND,6,matched_stable_endpoint,971,0.7301750772399588,0.739247311827957,0.009072234587998218,0.009072234587998218,0.19710173925799873
opentelemetry_demo,colocated,ND,6,all_calibration_endpoint,971,0.7301750772399588,0.7039966694421316,-0.026178407797827208,0.026178407797827208,0.19770474285240835
opentelemetry_demo,colocated,ND,7,learner_state_only,964,0.7531120331950207,0.7069464004607638,-0.04616563273425689,0.04616563273425689,0.188065564297637
opentelemetry_demo,colocated,ND,7,temporal_logit_lower,964,0.7531120331950207,0.7069162272634388,-0.0461958059315819,0.0461958059315819,0.1880683511375511
opentelemetry_demo,colocated,ND,7,temporal_logit_midpoint,964,0.7531120331950207,0.7069163563669196,-0.04619567682810111,0.04619567682810111,0.18806833920948907
opentelemetry_demo,colocated,ND,7,temporal_logit_upper,964,0.7531120331950207,0.7069669525174502,-0.046145080677570505,0.046145080677570505,0.18806366712262218
opentelemetry_demo,colocated,ND,7,source_500ms_failover,964,0.7531120331950207,0.8680262541022035,0.11491422090718273,0.11491422090718273,0.19913957681858752
opentelemetry_demo,colocated,ND,7,matched_stable_endpoint,964,0.7531120331950207,0.7328767123287672,-0.02023532086625357,0.02023532086625357,0.18634376686244297
opentelemetry_demo,colocated,ND,7,all_calibration_endpoint,964,0.7531120331950207,0.6990008326394671,-0.05411120055555363,0.05411120055555363,0.18886232067744607
opentelemetry_demo,colocated,ND,8,learner_state_only,931,0.765843179377014,0.6770895501517159,-0.08875362922529806,0.08875362922529806,0.1872046106793825
opentelemetry_demo,colocated,ND,8,temporal_logit_lower,931,0.765843179377014,0.6770618039199369,-0.0887813754570771,0.0887813754570771,0.18720953660677125
opentelemetry_demo,colocated,ND,8,temporal_logit_midpoint,931,0.765843179377014,0.6770619890182779,-0.0887811903587361,0.0887811903587361,0.18720950374023493
opentelemetry_demo,colocated,ND,8,temporal_logit_upper,931,0.765843179377014,0.6770622181768581,-0.08878096120015588,0.08878096120015588,0.18720946305034436
opentelemetry_demo,colocated,ND,8,source_500ms_failover,931,0.765843179377014,0.8411770166156131,0.0753338372385991,0.0753338372385991,0.1850025910118126
opentelemetry_demo,colocated,ND,8,matched_stable_endpoint,931,0.765843179377014,0.7033261802575107,-0.06251699911950326,0.06251699911950326,0.18323577915762873
opentelemetry_demo,colocated,ND,8,all_calibration_endpoint,931,0.765843179377014,0.6507077435470441,-0.11513543582996988,0.11513543582996988,0.19258357256247788
opentelemetry_demo,colocated,ND,9,learner_state_only,971,0.7816683831101957,0.6940305313526263,-0.08763785175756944,0.08763785175756944,0.17834331501676975
opentelemetry_demo,colocated,ND,9,temporal_logit_lower,971,0.7816683831101957,0.6939991779457543,-0.08766920516444143,0.08766920516444143,0.17834881149025295
