profile,case_id,phase,method,paired_rounds,original_over_projected,kernel_original_over_projected
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,agrum_joint,3,1.2313859318324916,1.2907003056863948
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,storm_sparse,3,0.8444463657585424,1.0859267573189795
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,storm_compact,3,0.846786483841366,1.2637631775103824
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,ours_direct,3,0.7993187899987657,0.9949814546252131
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,ours_prepared,3,0.9964998452427162,1.0867078238986927
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,cudd_fixed,3,0.9408103905261369,0.9777409872230997
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,cudd_sift,3,0.7796792770435749,0.8087744053001673
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,agrum_conditioned,3,1.0495338759458532,1.0625331457933738
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,agrum_joint,3,1.0574378902424606,1.075357709281185
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,storm_sparse,3,0.9613431416247192,1.0524299045230188
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,storm_compact,3,0.9279044350371894,1.006155247897498
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,ours_direct,3,0.7593734631014936,0.9723696508445157
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,ours_prepared,3,0.734842080163014,1.004244399185336
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,cudd_fixed,3,0.7177045563886836,0.9127537850373286
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,cudd_sift,3,0.6756166907525084,0.8628572619975018
