profile,case_id,method,representation,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,agrum_conditioned,completion_projected,0,0,False,0.15,0.14,47.50390625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,agrum_joint,original,0,0,False,0.15,0.13999999999999999,47.58984375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,agrum_joint,completion_projected,0,0,False,0.15,0.13999999999999999,47.4453125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,storm_sparse,original,0,0,False,0.24,0.23,93.51171875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,storm_sparse,completion_projected,0,0,False,0.23,0.22,93.64453125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,storm_compact,original,0,0,False,0.25,0.24,93.26171875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,storm_compact,completion_projected,0,0,False,0.24,0.23,93.2265625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,ours_direct,original,0,0,False,0.12,0.12000000000000001,36.1015625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,ours_direct,completion_projected,0,0,False,0.12,0.11,36.02734375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,ours_prepared,original,0,0,False,0.12,0.12000000000000001,35.984375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,ours_prepared,completion_projected,0,0,False,0.12,0.11,36.00390625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,cudd_fixed,original,0,0,False,0.24,0.24,61.38671875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,cudd_fixed,completion_projected,0,0,False,0.25,0.24,61.26171875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,cudd_sift,original,0,0,False,0.25,0.25,61.203125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,cudd_sift,completion_projected,0,0,False,0.25,0.24000000000000002,61.390625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,agrum_conditioned,completion_projected,0,0,False,0.22,0.22,47.91015625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,agrum_joint,original,0,0,False,0.2,0.19,47.8046875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,agrum_joint,completion_projected,0,0,False,0.19,0.18,47.9609375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,storm_sparse,original,0,0,False,0.25,0.25,94.58203125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,storm_sparse,completion_projected,0,0,False,0.24,0.24,94.72265625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,storm_compact,original,0,0,False,0.25,0.24,94.984375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,storm_compact,completion_projected,0,0,False,0.24,0.23,94.765625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,ours_direct,original,0,0,False,0.13,0.12000000000000001,35.99609375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,ours_direct,completion_projected,0,0,False,0.12,0.12000000000000001,36.03515625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,ours_prepared,original,0,0,False,0.12,0.12,36.078125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,ours_prepared,completion_projected,0,0,False,0.13,0.12,36.04296875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,cudd_fixed,original,0,0,False,0.26,0.26,61.38671875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,cudd_fixed,completion_projected,0,0,False,0.25,0.25,61.3984375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,cudd_sift,original,0,0,False,0.25,0.24000000000000002,61.18359375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,cudd_sift,completion_projected,0,0,False,0.25,0.25,61.20703125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_user_timeline,agrum_conditioned,original,0,0,False,0.23,0.22,47.94140625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,agrum_joint,original,0,0,False,0.19,0.19,48.16015625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,agrum_joint,completion_projected,0,0,False,0.19,0.19,47.828125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,storm_sparse,original,0,0,False,0.26,0.25,94.8515625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,storm_sparse,completion_projected,0,0,False,0.26,0.25,94.5
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,storm_compact,original,0,0,False,0.25,0.24,94.55078125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,storm_compact,completion_projected,0,0,False,0.26,0.25,94.45703125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,ours_direct,original,0,0,False,0.13,0.12000000000000001,36.1015625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,ours_direct,completion_projected,0,0,False,0.13,0.12,35.99609375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,ours_prepared,original,0,0,False,0.12,0.11,36.09765625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,ours_prepared,completion_projected,0,0,False,0.13,0.13,36.171875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,cudd_fixed,original,0,0,False,0.25,0.25,61.32421875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,cudd_fixed,completion_projected,0,0,False,0.25,0.25,61.4453125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,cudd_sift,original,0,0,False,0.25,0.24,61.4375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,cudd_sift,completion_projected,0,0,False,0.24,0.24000000000000002,61.37890625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,agrum_conditioned,original,0,0,False,0.24,0.22999999999999998,48.1484375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--compose_post,agrum_conditioned,completion_projected,0,0,False,0.22,0.21,47.92578125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,agrum_joint,completion_projected,0,0,False,0.14,0.13,47.55078125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,storm_sparse,original,0,0,False,0.23,0.23,93.421875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,storm_sparse,completion_projected,0,0,False,0.24,0.24,93.203125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,storm_compact,original,0,0,False,0.25,0.25,93.44140625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,storm_compact,completion_projected,0,0,False,0.24,0.23,93.1875
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,ours_direct,original,0,0,False,0.12,0.11,36.1015625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,ours_direct,completion_projected,0,0,False,0.13,0.12000000000000001,36.00390625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,ours_prepared,original,0,0,False,0.12,0.12000000000000001,36.02734375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,ours_prepared,completion_projected,0,0,False,0.13,0.12,36.15234375
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,cudd_fixed,original,0,0,False,0.26,0.26,61.3828125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,cudd_fixed,completion_projected,0,0,False,0.27,0.26,61.1953125
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,cudd_sift,original,0,0,False,0.28,0.27999999999999997,61.37890625
deathstarbench_social_network,deathstarbench_social_network--split--N--r0--read_home_timeline,cudd_sift,completion_projected,0,0,False,0.27,0.26,61.41015625
