profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,counts,qualified,9.650856,9.645957,9.653286,0.004899,0.06882,0.0,0.002214,9.575445,9.573231,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,masks,qualified,12.806073,12.805251,12.808678,0.000822,0.066575,0.0,2.788008,12.737114,9.949106,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,metadata,qualified,9.331978,9.331197,9.334481,0.000781,0.064681,0.0,0.002194,9.264903,9.262709,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,structure,qualified,18.577947,18.577156,18.580456,0.000791,0.066204,8.631285,0.002074,9.877551,9.875477,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,restore,qualified,18.635955,18.635153,18.638495,0.000802,0.064912,8.657634,0.001984,9.910614,9.90863,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,initial,qualified,13.35339,13.008123,13.358044,0.345267,0.081303,4.563928,0.002484,8.360457,8.357973,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,repeat,qualified,7.849128,7.558002,7.851661,0.291126,0.060834,0.0,0.002354,7.495325,7.492971,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,counts,qualified,7.632542,7.376152,7.635127,0.25639,0.059912,0.0,0.002044,7.314485,7.312441,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,masks,qualified,9.27408,8.967535,9.276593,0.306545,0.065093,0.0,1.046993,8.900741,7.853748,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,metadata,qualified,7.859748,7.561128,7.852904,0.29862,0.068878,0.0,0.002064,7.490496,7.488432,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,structure,qualified,12.710624,12.42043,12.71293,0.290194,0.06402,4.503225,0.001924,7.851052,7.849128,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,completion_projected,0,restore,qualified,12.556435,12.277903,12.558812,0.278532,0.058339,4.329498,0.001824,7.888052,7.886228,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,initial,qualified,13.695832,13.69474,13.701125,0.001092,0.162715,8.439576,0.002795,5.090064,5.087269,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_joint,original,0,repeat,qualified,2.353473,2.348955,2.35617,0.004518,0.078898,0.0,0.002535,2.268524,2.265989,False,
